"1. Collettivo indagato"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Natura della magistrale rispetto alla laurea di primo livello (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Rappresenta il proseguimento 'naturale'";"71,6";"66,7";"*";"53,8";"39,3";"*";"*";"100,0";"*";"58,8";"*";"*";"89,8";"91,7";"*";"*";"40,0";"*";"100,0"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseg. 'naturale'";"25,0";"16,7";"*";"46,2";"53,6";"*";"*";"-";"*";"35,3";"*";"*";"10,2";"8,3";"*";"*";"40,0";"*";"-"
"Rientra in un settore disciplinare diverso";"3,4";"16,7";"*";"-";"7,1";"*";"*";"-";"*";"5,9";"*";"*";"-";"-";"*";"*";"20,0";"*";"-"
"Ateneo e gruppo disciplinare di iscrizione alla laurea magistrale (% per singola voce)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stesso ateneo di conseguimento della laurea di primo livello";"78,2";"66,7";"*";"76,9";"57,1";"*";"*";"50,0";"*";"88,2";"*";"*";"93,9";"83,3";"*";"*";"40,0";"*";"100,0"
"Stesso gruppo disciplinare di conseguimento della laurea di primo livello";"81,6";"33,3";"*";"92,3";"60,7";"*";"*";"50,0";"*";"94,1";"*";"*";"95,9";"87,5";"*";"*";"40,0";"*";"100,0"
"Stesso ateneo e stesso gruppo disciplinare di conseguimento della laurea di primo livello";"70,7";"33,3";"*";"69,2";"42,9";"*";"*";"50,0";"*";"82,4";"*";"*";"89,8";"79,2";"*";"*";"40,0";"*";"100,0"
"Soddisfazione per gli studi magistrali intrapresi (medie, scala 1-10)";"8,0";"6,3";"*";"8,3";"8,0";"*";"*";"7,7";"*";"8,1";"*";"*";"7,9";"8,1";"*";"*";"7,8";"*";"9,0"
"2b. Formazione post-laurea"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Ha partecipato ad almeno un'attività di formazione (%) ";"27,5";"73,3";"*";"18,5";"31,8";"*";"*";"42,9";"*";"24,0";"*";"*";"18,3";"22,6";"*";"*";"50,0";"*";"33,3"
"Attività di formazione: conclusa/in corso (% per attività)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Collaborazione volontaria";"8,8";"46,7";"*";"7,4";"13,6";"*";"*";"-";"*";"4,0";"*";"*";"1,7";"3,2";"*";"*";"16,7";"*";"16,7"
"Tirocinio/praticantato";"1,2";"-";"*";"3,7";"2,3";"*";"*";"-";"*";"-";"*";"*";"1,7";"-";"*";"*";"-";"*";"-"
"Scuola di specializzazione";"1,2";"13,3";"*";"-";"2,3";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Master universitario di I livello";"2,8";"13,3";"*";"-";"4,5";"*";"*";"14,3";"*";"-";"*";"*";"-";"-";"*";"*";"16,7";"*";"-"
"Altro tipo di master";"5,2";"6,7";"*";"3,7";"6,8";"*";"*";"-";"*";"16,0";"*";"*";"3,3";"-";"*";"*";"8,3";"*";"8,3"
"Stage in azienda";"12,0";"20,0";"*";"11,1";"13,6";"*";"*";"28,6";"*";"4,0";"*";"*";"10,0";"9,7";"*";"*";"16,7";"*";"16,7"
"Corso di formazione professionale";"2,8";"13,3";"*";"-";"-";"*";"*";"-";"*";"4,0";"*";"*";"3,3";"3,2";"*";"*";"8,3";"*";"-"
"Attività sostenuta da borsa di studio";"2,8";"6,7";"*";"-";"2,3";"*";"*";"-";"*";"-";"*";"*";"1,7";"9,7";"*";"*";"8,3";"*";"-"
"3. Condizione occupazionale"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Condizione occupazionale e formativa (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Lavora e non è iscritto alla magistrale";"28,7";"26,7";"*";"48,1";"22,7";"*";"*";"57,1";"*";"12,0";"*";"*";"16,7";"12,9";"*";"*";"33,3";"*";"58,3"
"Lavora ed è iscritto alla magistrale";"13,5";"13,3";"*";"22,2";"11,4";"*";"*";"-";"*";"4,0";"*";"*";"20,0";"16,1";"*";"*";"16,7";"*";"8,3"
"Non lavora ed è iscritto alla magistrale";"45,0";"26,7";"*";"25,9";"52,3";"*";"*";"28,6";"*";"64,0";"*";"*";"61,7";"61,3";"*";"*";"25,0";"*";"-"
"Non lavora, non è iscritto alla magistrale e non cerca";"2,4";"6,7";"*";"-";"4,5";"*";"*";"-";"*";"-";"*";"*";"-";"3,2";"*";"*";"8,3";"*";"8,3"
"Non lavora, non è iscritto alla magistrale ma cerca";"10,4";"26,7";"*";"3,7";"9,1";"*";"*";"14,3";"*";"20,0";"*";"*";"1,7";"6,5";"*";"*";"16,7";"*";"25,0"
"Condizione occupazionale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Lavora";"42,2";"40,0";"*";"70,4";"34,1";"*";"*";"57,1";"*";"16,0";"*";"*";"36,7";"29,0";"*";"*";"50,0";"*";"66,7"
"Non lavora e non cerca";"38,6";"26,7";"*";"18,5";"45,5";"*";"*";"28,6";"*";"60,0";"*";"*";"46,7";"54,8";"*";"*";"25,0";"*";"8,3"
"Non lavora ma cerca";"19,1";"33,3";"*";"11,1";"20,5";"*";"*";"14,3";"*";"24,0";"*";"*";"16,7";"16,1";"*";"*";"25,0";"*";"25,0"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"36,3";"20,0";"*";"18,5";"40,9";"*";"*";"28,6";"*";"60,0";"*";"*";"46,7";"51,6";"*";"*";"16,7";"*";"-"
"Quota che lavora, per genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"47,3";"40,0";"*";"80,0";"50,0";"*";"*";"50,0";"*";"19,0";"*";"*";"41,7";"36,4";"*";"*";"40,0";"*";"66,7"
"Donne";"35,0";"40,0";"*";"58,3";"20,8";"*";"*";"60,0";"*";"-";"*";"*";"16,7";"25,0";"*";"*";"57,1";"*";"66,7"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Non lavora ma ha lavorato dopo la laurea";"19,1";"26,7";"*";"3,7";"25,0";"*";"*";"14,3";"*";"20,0";"*";"*";"18,3";"22,6";"*";"*";"25,0";"*";"33,3"
"Non ha mai lavorato dopo la laurea";"38,6";"33,3";"*";"25,9";"40,9";"*";"*";"28,6";"*";"64,0";"*";"*";"45,0";"48,4";"*";"*";"25,0";"*";"-"
"Tasso di occupazione (def. Istat - Forze di lavoro) ";"43,4";"40,0";"*";"74,1";"36,4";"*";"*";"57,1";"*";"16,0";"*";"*";"36,7";"32,3";"*";"*";"50,0";"*";"66,7"
"Tasso di disoccupazione (def. Istat - Forze di lavoro) ";"19,9";"25,0";"*";"4,8";"23,8";"*";"*";"20,0";"*";"55,6";"*";"*";"18,5";"9,1";"*";"*";"14,3";"*";"27,3"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Numero di occupati";"106";"6";"*";"19";"15";"*";"*";"4";"*";"4";"*";"*";"22";"9";"*";"*";"6";"*";"8"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Prosegue il lavoro iniziato prima della laurea";"45,3";"50,0";"*";"31,6";"40,0";"*";"*";"50,0";"*";"25,0";"*";"*";"45,5";"44,4";"*";"*";"50,0";"*";"50,0"
"Non prosegue il lavoro iniziato prima della laurea";"15,1";"-";"*";"15,8";"13,3";"*";"*";"-";"*";"-";"*";"*";"18,2";"22,2";"*";"*";"16,7";"*";"25,0"
"Ha iniziato a lavorare dopo la laurea";"39,6";"50,0";"*";"52,6";"46,7";"*";"*";"50,0";"*";"75,0";"*";"*";"36,4";"33,3";"*";"*";"33,3";"*";"25,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,5";"0,3";"*";"0,4";"0,4";"*";"*";"0,5";"*";"1,0";"*";"*";"0,1";"1,8";"*";"*";"0,0";"*";"0,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"4,1";"5,7";"*";"2,5";"5,1";"*";"*";"10,5";"*";"2,0";"*";"*";"2,5";"2,6";"*";"*";"6,3";"*";"4,3"
"Tempo dalla laurea al reperimento del primo lavoro";"4,5";"6,0";"*";"2,9";"4,9";"*";"*";"11,0";"*";"3,0";"*";"*";"2,4";"4,4";"*";"*";"6,3";"*";"4,8"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Autonomo effettivo";"21,7";"-";"*";"21,1";"20,0";"*";"*";"25,0";"*";"-";"*";"*";"36,4";"-";"*";"*";"33,3";"*";"12,5"
"Tempo indeterminato";"13,2";"16,7";"*";"21,1";"20,0";"*";"*";"25,0";"*";"25,0";"*";"*";"4,5";"11,1";"*";"*";"-";"*";"25,0"
"Totale stabile ";"34,9";"16,7";"*";"42,1";"40,0";"*";"*";"50,0";"*";"25,0";"*";"*";"40,9";"11,1";"*";"*";"33,3";"*";"37,5"
"A tutele crescenti ";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Contratti formativi ";"10,4";"-";"*";"5,3";"13,3";"*";"*";"25,0";"*";"-";"*";"*";"4,5";"44,4";"*";"*";"16,7";"*";"12,5"
"Non standard ";"39,6";"33,3";"*";"42,1";"33,3";"*";"*";"25,0";"*";"50,0";"*";"*";"36,4";"44,4";"*";"*";"16,7";"*";"50,0"
"Parasubordinato ";"0,9";"-";"*";"-";"6,7";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Altro autonomo ";"5,7";"16,7";"*";"-";"-";"*";"*";"-";"*";"25,0";"*";"*";"13,6";"-";"*";"*";"-";"*";"-"
"Senza contratto";"8,5";"33,3";"*";"10,5";"6,7";"*";"*";"-";"*";"-";"*";"*";"4,5";"-";"*";"*";"33,3";"*";"-"
"Diffusione del part-time (%)";"36,8";"66,7";"*";"36,8";"46,7";"*";"*";"-";"*";"25,0";"*";"*";"45,5";"44,4";"*";"*";"33,3";"*";"12,5"
"Numero di ore settimanali di lavoro (medie) ";"33,3";"28,0";"*";"33,4";"34,2";"*";"*";"39,3";"*";"35,5";"*";"*";"32,6";"28,9";"*";"*";"28,5";"*";"39,0"
"6. Caratteristiche dell'azienda"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Settore di attività (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Pubblico";"5,7";"16,7";"*";"-";"20,0";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Privato";"93,4";"83,3";"*";"100,0";"80,0";"*";"*";"100,0";"*";"100,0";"*";"*";"100,0";"100,0";"*";"*";"100,0";"*";"100,0"
"Non profit";"0,9";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Ramo di attività economica (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Agricoltura";"33,0";"-";"*";"36,8";"33,3";"*";"*";"-";"*";"50,0";"*";"*";"50,0";"-";"*";"*";"16,7";"*";"62,5"
"Metalmeccanica e meccanica di precisione";"3,8";"-";"*";"5,3";"6,7";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"12,5"
"Edilizia ";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Chimica/Energia ";"2,8";"-";"*";"-";"-";"*";"*";"-";"*";"25,0";"*";"*";"4,5";"-";"*";"*";"16,7";"*";"-"
"Altra industria manifatturiera ";"7,5";"-";"*";"10,5";"6,7";"*";"*";"-";"*";"-";"*";"*";"-";"44,4";"*";"*";"-";"*";"-"
"Totale industria";"14,2";"-";"*";"15,8";"13,3";"*";"*";"-";"*";"25,0";"*";"*";"4,5";"44,4";"*";"*";"16,7";"*";"12,5"
"Commercio ";"26,4";"50,0";"*";"36,8";"13,3";"*";"*";"50,0";"*";"-";"*";"*";"22,7";"55,6";"*";"*";"16,7";"*";"-"
"Credito, assicurazioni";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Trasporti, pubblicità, comunicazioni ";"0,9";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Consulenze varie ";"5,7";"-";"*";"-";"6,7";"*";"*";"25,0";"*";"-";"*";"*";"9,1";"-";"*";"*";"16,7";"*";"-"
"Informatica";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Altri servizi alle imprese";"2,8";"-";"*";"-";"6,7";"*";"*";"-";"*";"25,0";"*";"*";"-";"-";"*";"*";"-";"*";"12,5"
"Pubblica amministrazione, forze armate";"2,8";"16,7";"*";"-";"13,3";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Istruzione e ricerca ";"1,9";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"4,5";"-";"*";"*";"-";"*";"-"
"Sanità";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Altri servizi ";"8,5";"16,7";"*";"10,5";"6,7";"*";"*";"25,0";"*";"-";"*";"*";"9,1";"-";"*";"*";"33,3";"*";"-"
"Totale servizi";"49,1";"83,3";"*";"47,4";"46,7";"*";"*";"100,0";"*";"25,0";"*";"*";"45,5";"55,6";"*";"*";"66,7";"*";"12,5"
"Area geografica di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nord-ovest";"1,9";"-";"*";"-";"6,7";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Nord-est";"85,8";"83,3";"*";"84,2";"86,7";"*";"*";"75,0";"*";"100,0";"*";"*";"90,9";"100,0";"*";"*";"83,3";"*";"75,0"
"Centro";"4,7";"-";"*";"5,3";"-";"*";"*";"25,0";"*";"-";"*";"*";"-";"-";"*";"*";"16,7";"*";"12,5"
"Sud";"3,8";"-";"*";"10,5";"-";"*";"*";"-";"*";"-";"*";"*";"4,5";"-";"*";"*";"-";"*";"12,5"
"Isole";"1,9";"16,7";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Estero";"1,9";"-";"*";"-";"6,7";"*";"*";"-";"*";"-";"*";"*";"4,5";"-";"*";"*";"-";"*";"-"
"7. Guadagno"
