"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"5,6";"*";"5,7";"3,5";"*";"*";"25,0";"*"
"uno solo con laurea";"20,6";"*";"17,9";"24,6";"*";"*";"25,0";"*"
"scuola media superiore";"48,3";"*";"51,9";"45,6";"*";"*";"37,5";"*"
"titoli inferiori o nessun titolo";"23,3";"*";"24,5";"21,1";"*";"*";"12,5";"*"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"23,3";"*";"23,6";"21,1";"*";"*";"25,0";"*"
"classe media impiegatizia";"23,3";"*";"23,6";"17,5";"*";"*";"50,0";"*"
"classe media autonoma";"25,6";"*";"23,6";"33,3";"*";"*";"12,5";"*"
"classe del lavoro esecutivo";"24,4";"*";"27,4";"22,8";"*";"*";"12,5";"*"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"15,7";"*";"14,7";"14,0";"*";"*";"55,6";"*"
"liceo linguistico";"5,9";"*";"7,3";"1,8";"*";"*";"-";"*"
"liceo scientifico";"22,2";"*";"22,9";"22,8";"*";"*";"11,1";"*"
"liceo socio-psico-pedagogico o ist. magistrale";"10,3";"*";"9,2";"14,0";"*";"*";"11,1";"*"
"tecnico";"36,2";"*";"34,9";"42,1";"*";"*";"22,2";"*"
"professionale";"4,9";"*";"6,4";"1,8";"*";"*";"-";"*"
"istruzione artistica";"1,1";"*";"0,9";"1,8";"*";"*";"-";"*"
"titolo estero";"3,8";"*";"3,7";"1,8";"*";"*";"-";"*"
"Voto di diploma (medie, in 100-mi) ";"74,5";"*";"73,8";"75,7";"*";"*";"78,0";"*"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"38,4";"*";"36,7";"45,6";"*";"*";"33,3";"*"
"in una provincia limitrofa";"13,5";"*";"12,8";"19,3";"*";"*";"-";"*"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"20,0";"*";"19,3";"21,1";"*";"*";"22,2";"*"
"al Sud, ma si sono laureati al Centro-Nord";"20,0";"*";"23,9";"8,8";"*";"*";"33,3";"*"
"al Centro, ma si sono laureati al Nord o al Sud";"4,3";"*";"3,7";"3,5";"*";"*";"11,1";"*"
"al Nord, ma si sono laureati al Centro-Sud";"-";"*";"-";"-";"*";"*";"-";"*"
"all'estero";"3,8";"*";"3,7";"1,8";"*";"*";"-";"*"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Hanno precedenti esperienze universitarie (%) ";"26,7";"*";"26,4";"26,3";"*";"*";"25,0";"*"
"portate a termine";"7,2";"*";"7,5";"1,8";"*";"*";"25,0";"*"
"non portate a termine";"19,4";"*";"18,9";"24,6";"*";"*";"-";"*"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"33,3";"*";"34,0";"35,1";"*";"*";"25,0";"*"
"fattori prevalentemente culturali";"30,0";"*";"34,0";"28,1";"*";"*";"-";"*"
"fattori prevalentemente professionalizzanti";"9,4";"*";"8,5";"7,0";"*";"*";"12,5";"*"
"né gli uni né gli altri";"26,7";"*";"23,6";"28,1";"*";"*";"62,5";"*"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"70,8";"*";"72,5";"68,4";"*";"*";"66,7";"*"
"2 o più anni di ritardo";"29,2";"*";"27,5";"31,6";"*";"*";"33,3";"*"
"Punteggio degli esami (medie) ";"24,8";"*";"24,7";"25,3";"*";"*";"22,7";"*"
"Voto di laurea (medie) ";"94,2";"*";"93,8";"96,5";"*";"*";"85,6";"*"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"35,7";"*";"43,1";"33,3";"*";"*";"-";"*"
"1° anno fuori corso";"23,8";"*";"24,8";"24,6";"*";"*";"-";"*"
"2° anno fuori corso";"14,1";"*";"13,8";"17,5";"*";"*";"-";"*"
"3° anno fuori corso";"11,4";"*";"11,0";"15,8";"*";"*";"-";"*"
"4° anno fuori corso";"2,7";"*";"0,9";"3,5";"*";"*";"11,1";"*"
"5° anno fuori corso e oltre";"12,4";"*";"6,4";"5,3";"*";"*";"88,9";"*"
"Durata degli studi (medie, in anni) ";"5,0";"*";"4,4";"4,7";"*";"*";"10,9";"*"
"Ritardo alla laurea (medie, in anni) ";"1,6";"*";"1,1";"1,3";"*";"*";"7,5";"*"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,54";"*";"0,35";"0,45";"*";"*";"2,49";"*"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"63,3";"*";"63,2";"63,2";"*";"*";"50,0";"*"
"meno del 50%";"35,0";"*";"36,8";"31,6";"*";"*";"50,0";"*"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"36,7";"*";"33,0";"45,6";"*";"*";"12,5";"*"
"tra il 50% e il 75%";"29,4";"*";"34,9";"19,3";"*";"*";"12,5";"*"
"tra il 25% e il 50%";"18,9";"*";"18,9";"17,5";"*";"*";"50,0";"*"
"meno del 25%";"14,4";"*";"13,2";"15,8";"*";"*";"25,0";"*"
"Hanno usufruito del servizio di borse di studio (%)";"23,3";"*";"24,5";"24,6";"*";"*";"-";"*"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"9,4";"*";"4,7";"5,3";"*";"*";"50,0";"*"
"con Erasmus o altro programma dell'Unione Europea";"5,0";"*";"1,9";"5,3";"*";"*";"37,5";"*"
"altra esperienza riconosciuta dal corso di studi";"2,2";"*";"-";"-";"*";"*";"12,5";"*"
"iniziativa personale";"2,2";"*";"2,8";"-";"*";"*";"-";"*"
"non hanno compiuto studi all'estero";"90,6";"*";"95,3";"94,7";"*";"*";"50,0";"*"
"1 o più esami all'estero convalidati (%)";"6,7";"*";"1,9";"5,3";"*";"*";"37,5";"*"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,8";"*";"2,8";"1,8";"*";"*";"-";"*"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"87,8";"*";"95,3";"94,7";"*";"*";"-";"*"
"tirocini organizzati dal corso e svolti presso l'università";"-";"*";"-";"-";"*";"*";"-";"*"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"69,4";"*";"75,5";"73,7";"*";"*";"-";"*"
"attività di lavoro successivamente riconosciute dal corso";"17,2";"*";"17,9";"21,1";"*";"*";"-";"*"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"11,1";"*";"3,8";"5,3";"*";"*";"87,5";"*"
"Mesi impiegati per la tesi/prova finale (medie)";"3,8";"*";"4,2";"3,3";"*";"*";"4,1";"*"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Hanno esperienze di lavoro (%) ";"78,9";"*";"74,5";"86,0";"*";"*";"75,0";"*"
"lavoratori-studenti";"18,3";"*";"13,2";"28,1";"*";"*";"12,5";"*"
"altre esperienze di lavoro con continuità a tempo pieno";"5,0";"*";"4,7";"3,5";"*";"*";"25,0";"*"
"lavoro a tempo parziale";"21,1";"*";"21,7";"19,3";"*";"*";"-";"*"
"lavoro occasionale, saltuario, stagionale";"34,4";"*";"34,9";"35,1";"*";"*";"37,5";"*"
"nessuna esperienza di lavoro";"21,1";"*";"25,5";"14,0";"*";"*";"25,0";"*"
"lavoro coerente con gli studi";"16,1";"*";"14,2";"19,3";"*";"*";"12,5";"*"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"44,4";"*";"46,2";"47,4";"*";"*";"25,0";"*"
"più sì che no";"47,8";"*";"46,2";"45,6";"*";"*";"62,5";"*"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"20,6";"*";"21,7";"19,3";"*";"*";"12,5";"*"
"più sì che no";"66,1";"*";"67,0";"66,7";"*";"*";"50,0";"*"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"46,7";"*";"50,9";"45,6";"*";"*";"12,5";"*"
"più sì che no";"40,6";"*";"39,6";"40,4";"*";"*";"37,5";"*"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"16,7";"*";"10,4";"19,3";"*";"*";"62,5";"*"
"spesso adeguate";"42,8";"*";"43,4";"42,1";"*";"*";"25,0";"*"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"51,7";"*";"44,3";"68,4";"*";"*";"50,0";"*"
"erano presenti, ma in numero inadeguato";"28,9";"*";"31,1";"19,3";"*";"*";"37,5";"*"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"38,3";"*";"42,5";"31,6";"*";"*";"37,5";"*"
"abbastanza positiva";"41,7";"*";"40,6";"38,6";"*";"*";"62,5";"*"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"21,7";"*";"24,5";"21,1";"*";"*";"12,5";"*"
"abbastanza adeguato";"34,4";"*";"34,9";"33,3";"*";"*";"25,0";"*"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"64,4";"*";"67,0";"68,4";"*";"*";"25,0";"*"
"sì, ma ad un altro corso dell'Ateneo";"21,7";"*";"24,5";"14,0";"*";"*";"25,0";"*"
"sì, allo stesso corso ma in un altro Ateneo";"2,8";"*";"0,9";"3,5";"*";"*";"25,0";"*"
"sì, ma ad un altro corso e in un altro Ateneo";"6,7";"*";"3,8";"10,5";"*";"*";"12,5";"*"
"non si iscriverebbero più all'università";"4,4";"*";"3,8";"3,5";"*";"*";"12,5";"*"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"67,8";"*";"72,6";"57,9";"*";"*";"62,5";"*"
"inglese parlato";"64,4";"*";"70,8";"52,6";"*";"*";"50,0";"*"
"francese scritto";"18,3";"*";"16,0";"15,8";"*";"*";"25,0";"*"
"francese parlato";"20,6";"*";"17,9";"19,3";"*";"*";"25,0";"*"
"spagnolo scritto";"14,4";"*";"12,3";"17,5";"*";"*";"37,5";"*"
"spagnolo parlato";"16,1";"*";"15,1";"15,8";"*";"*";"37,5";"*"
"tedesco scritto";"2,2";"*";"2,8";"1,8";"*";"*";"-";"*"
"tedesco parlato";"1,7";"*";"1,9";"1,8";"*";"*";"-";"*"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"87,2";"*";"88,7";"84,2";"*";"*";"75,0";"*"
"word processor";"80,6";"*";"83,0";"75,4";"*";"*";"62,5";"*"
"fogli elettronici";"66,7";"*";"66,0";"68,4";"*";"*";"50,0";"*"
"strumenti di presentazione";"53,3";"*";"49,1";"57,9";"*";"*";"62,5";"*"
"sistemi operativi";"72,8";"*";"73,6";"73,7";"*";"*";"62,5";"*"
"multimedia";"37,2";"*";"36,8";"36,8";"*";"*";"25,0";"*"
"linguaggi di programmazione";"12,2";"*";"13,2";"8,8";"*";"*";"12,5";"*"
"data base";"20,0";"*";"22,6";"15,8";"*";"*";"12,5";"*"
"realizzazione siti web";"11,1";"*";"11,3";"12,3";"*";"*";"-";"*"
"reti di trasmissione dati";"10,0";"*";"8,5";"14,0";"*";"*";"-";"*"
"CAD/CAM/CAE - progettazione assistita";"10,0";"*";"12,3";"7,0";"*";"*";"-";"*"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Intendono proseguire gli studi (%)";"51,7";"*";"53,8";"50,9";"*";"*";"25,0";"*"
"altra laurea triennale";"2,2";"*";"1,9";"1,8";"*";"*";"12,5";"*"
"laurea magistrale";"23,9";"*";"17,0";"33,3";"*";"*";"12,5";"*"
"dottorato di ricerca";"-";"*";"-";"-";"*";"*";"-";"*"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"0,6";"*";"-";"1,8";"*";"*";"-";"*"
"scuola di specializzazione post-laurea";"2,2";"*";"2,8";"1,8";"*";"*";"-";"*"
"master universitario";"14,4";"*";"19,8";"8,8";"*";"*";"-";"*"
"altro tipo di master o corso di perfezionamento";"0,6";"*";"0,9";"-";"*";"*";"-";"*"
"tirocinio, praticantato";"6,1";"*";"10,4";"-";"*";"*";"-";"*"
"attività sostenuta da borsa o assegno di studio";"-";"*";"-";"-";"*";"*";"-";"*"
"altre attività di qualificazione professionale";"0,6";"*";"0,9";"-";"*";"*";"-";"*"
"non intendono proseguire";"47,8";"*";"46,2";"47,4";"*";"*";"75,0";"*"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"23,3";"*";"22,6";"26,3";"*";"*";"37,5";"*"
"amministrazione, contabilità";"40,6";"*";"41,5";"43,9";"*";"*";"25,0";"*"
"assistenza tecnica";"13,3";"*";"14,2";"14,0";"*";"*";"12,5";"*"
"commerciale, vendite";"30,0";"*";"30,2";"28,1";"*";"*";"50,0";"*"
"controllo di gestione";"31,7";"*";"28,3";"43,9";"*";"*";"12,5";"*"
"finanza";"20,6";"*";"20,8";"24,6";"*";"*";"12,5";"*"
"legale";"61,1";"*";"61,3";"63,2";"*";"*";"50,0";"*"
"logistica, distribuzione";"21,1";"*";"20,8";"22,8";"*";"*";"37,5";"*"
"marketing, comunicazione, pubbliche relazioni";"45,0";"*";"43,4";"49,1";"*";"*";"50,0";"*"
"organizzazione, pianificazione";"51,1";"*";"51,9";"52,6";"*";"*";"75,0";"*"
"produzione";"17,8";"*";"17,9";"19,3";"*";"*";"12,5";"*"
"ricerca e sviluppo";"21,1";"*";"18,9";"28,1";"*";"*";"12,5";"*"
"risorse umane, selezione, formazione";"56,1";"*";"61,3";"43,9";"*";"*";"75,0";"*"
"segreteria, affari generali";"30,0";"*";"31,1";"31,6";"*";"*";"37,5";"*"
"sistemi informativi, EDP";"7,8";"*";"6,6";"10,5";"*";"*";"12,5";"*"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"70,6";"*";"76,4";"64,9";"*";"*";"50,0";"*"
"possibilità di carriera";"63,9";"*";"68,9";"61,4";"*";"*";"50,0";"*"
"possibilità di guadagno";"56,1";"*";"58,5";"52,6";"*";"*";"50,0";"*"
"stabilità/sicurezza del posto di lavoro";"67,2";"*";"70,8";"64,9";"*";"*";"62,5";"*"
"rispondenza a interessi culturali";"31,1";"*";"29,2";"36,8";"*";"*";"25,0";"*"
"coerenza con gli studi";"38,9";"*";"40,6";"38,6";"*";"*";"25,0";"*"
"utilità sociale del lavoro";"26,1";"*";"27,4";"24,6";"*";"*";"25,0";"*"
"prestigio che ricevi dal lavoro";"31,1";"*";"34,0";"29,8";"*";"*";"25,0";"*"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"46,7";"*";"49,1";"47,4";"*";"*";"37,5";"*"
"indipendenza o autonomia";"50,0";"*";"50,9";"50,9";"*";"*";"25,0";"*"
"flessibilità dell’orario di lavoro";"32,2";"*";"30,2";"35,1";"*";"*";"62,5";"*"
"rapporti con i colleghi sul luogo di lavoro";"40,0";"*";"42,5";"36,8";"*";"*";"50,0";"*"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"37,8";"*";"34,9";"42,1";"*";"*";"62,5";"*"
"tempo libero";"24,4";"*";"22,6";"26,3";"*";"*";"37,5";"*"
"opportunità di contatti con l'estero";"26,7";"*";"22,6";"31,6";"*";"*";"25,0";"*"
"possibilità di utilizzare al meglio le competenze acquisite";"37,2";"*";"35,8";"43,9";"*";"*";"25,0";"*"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"37,2";"*";"36,8";"38,6";"*";"*";"50,0";"*"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"46,7";"*";"48,1";"49,1";"*";"*";"25,0";"*"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"84,4";"*";"88,7";"75,4";"*";"*";"75,0";"*"
"part-time";"47,2";"*";"43,4";"54,4";"*";"*";"37,5";"*"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"88,3";"*";"87,7";"87,7";"*";"*";"87,5";"*"
"tempo determinato";"35,6";"*";"36,8";"33,3";"*";"*";"25,0";"*"
"collaborazione (compreso lavoro a progetto)";"18,3";"*";"14,2";"22,8";"*";"*";"25,0";"*"
"inserimento (ex formazione e lavoro)";"20,6";"*";"19,8";"22,8";"*";"*";"12,5";"*"
"stage";"16,7";"*";"14,2";"15,8";"*";"*";"25,0";"*"
"apprendistato";"21,1";"*";"23,6";"17,5";"*";"*";"25,0";"*"
"lavoro interinale";"13,9";"*";"13,2";"14,0";"*";"*";"12,5";"*"
"telelavoro";"6,1";"*";"4,7";"7,0";"*";"*";"12,5";"*"
"autonomo/in conto proprio";"32,2";"*";"33,0";"29,8";"*";"*";"12,5";"*"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"71,1";"*";"70,8";"75,4";"*";"*";"62,5";"*"
"provincia degli studi";"52,2";"*";"56,6";"47,4";"*";"*";"25,0";"*"
"regione degli studi";"40,6";"*";"44,3";"35,1";"*";"*";"25,0";"*"
"Italia settentrionale";"44,4";"*";"48,1";"36,8";"*";"*";"62,5";"*"
"Italia centrale";"26,7";"*";"27,4";"24,6";"*";"*";"37,5";"*"
"Italia meridionale";"15,0";"*";"15,1";"14,0";"*";"*";"25,0";"*"
"Stato europeo";"36,1";"*";"37,7";"28,1";"*";"*";"50,0";"*"
"Stato extraeuropeo";"27,2";"*";"26,4";"24,6";"*";"*";"25,0";"*"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"41,1";"*";"42,5";"35,1";"*";"*";"50,0";"*"
"sì, anche frequenti (senza cambi di residenza)";"29,4";"*";"29,2";"31,6";"*";"*";"12,5";"*"
"sì, ma solo in numero limitato";"18,9";"*";"18,9";"21,1";"*";"*";"25,0";"*"
"non disponibili a trasferte";"7,8";"*";"7,5";"7,0";"*";"*";"12,5";"*"
