"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"33,3";"43,3";"*";"24,2";"*";"*";"45,1";"40,7";"33,5";"42,9";"36,2";"12,5";"29,4";"*";"33,3";"21,8";"*";"*";"44,4";"30,6";"37,5";"*"
"al Sud, ma si sono laureati al Centro-Nord";"21,2";"16,4";"*";"14,3";"*";"*";"19,2";"25,9";"29,5";"28,6";"21,7";"25,0";"21,1";"*";"-";"21,8";"*";"*";"22,2";"15,7";"-";"*"
"al Centro, ma si sono laureati al Nord o al Sud";"11,8";"14,0";"*";"6,6";"*";"*";"13,4";"11,1";"11,2";"-";"9,2";"-";"16,0";"*";"22,2";"8,0";"*";"*";"-";"11,1";"-";"*"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"*";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*";"-";"-";"*";"*";"-";"-";"-";"*"
"all'estero";"3,0";"-";"*";"4,4";"*";"*";"3,6";"7,4";"6,8";"-";"-";"-";"0,3";"*";"-";"5,8";"*";"*";"-";"0,9";"12,5";"*"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Hanno precedenti esperienze universitarie (%) ";"19,0";"18,1";"*";"26,7";"*";"*";"23,4";"30,4";"20,1";"28,6";"11,7";"-";"15,0";"*";"25,0";"18,2";"*";"*";"-";"21,4";"57,1";"*"
"portate a termine";"2,1";"-";"*";"7,0";"*";"*";"1,9";"4,3";"2,6";"28,6";"3,4";"-";"0,9";"*";"-";"1,0";"*";"*";"-";"1,9";"-";"*"
"non portate a termine";"16,9";"18,1";"*";"19,8";"*";"*";"21,5";"26,1";"17,5";"-";"8,3";"-";"14,2";"*";"25,0";"17,2";"*";"*";"-";"19,4";"57,1";"*"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"17,4";"7,5";"*";"24,4";"*";"*";"34,6";"-";"15,2";"28,6";"9,7";"-";"16,5";"*";"-";"18,7";"*";"*";"-";"13,6";"14,3";"*"
"fattori prevalentemente culturali";"68,0";"80,6";"*";"67,4";"*";"*";"42,5";"91,3";"70,2";"57,1";"84,8";"100,0";"77,6";"*";"62,5";"47,4";"*";"*";"80,0";"75,7";"85,7";"*"
"fattori prevalentemente professionalizzanti";"1,3";"0,6";"*";"-";"*";"*";"4,2";"-";"0,3";"-";"-";"-";"0,3";"*";"-";"4,3";"*";"*";"-";"1,0";"-";"*"
"né gli uni né gli altri";"13,0";"10,6";"*";"7,0";"*";"*";"18,7";"8,7";"14,2";"14,3";"5,5";"-";"5,6";"*";"25,0";"29,2";"*";"*";"20,0";"9,7";"-";"*"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"84,6";"86,5";"*";"73,6";"*";"*";"83,5";"63,0";"80,7";"42,9";"91,4";"87,5";"95,4";"*";"77,8";"83,1";"*";"*";"44,4";"82,4";"50,0";"*"
"2 o più anni di ritardo";"15,4";"13,5";"*";"26,4";"*";"*";"16,5";"37,0";"19,3";"57,1";"8,6";"12,5";"4,6";"*";"22,2";"16,9";"*";"*";"55,6";"17,6";"50,0";"*"
"Punteggio degli esami (medie) ";"26,9";"27,6";"*";"27,9";"*";"*";"26,2";"26,5";"26,5";"27,8";"28,0";"26,6";"27,9";"*";"24,5";"24,8";"*";"*";"26,5";"28,2";"27,5";"*"
"Voto di laurea (medie) ";"101,7";"103,7";"*";"107,0";"*";"*";"98,3";"99,7";"100,5";"105,7";"105,9";"99,8";"105,5";"*";"93,0";"92,9";"*";"*";"98,6";"106,5";"103,9";"*"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"59,5";"66,7";"*";"51,6";"*";"*";"69,2";"-";"55,6";"-";"67,1";"-";"66,3";"*";"-";"60,4";"*";"*";"-";"56,5";"-";"*"
"1° anno fuori corso";"20,8";"22,8";"*";"29,7";"*";"*";"17,4";"-";"21,4";"-";"19,1";"-";"22,9";"*";"-";"23,6";"*";"*";"-";"18,5";"37,5";"*"
"2° anno fuori corso";"8,5";"7,6";"*";"7,7";"*";"*";"6,3";"-";"12,7";"-";"7,2";"-";"6,0";"*";"-";"6,7";"*";"*";"-";"16,7";"62,5";"*"
"3° anno fuori corso";"3,9";"0,6";"*";"3,3";"*";"*";"4,5";"-";"6,8";"-";"4,6";"-";"1,7";"*";"-";"5,8";"*";"*";"-";"4,6";"-";"*"
"4° anno fuori corso";"2,2";"1,8";"*";"1,1";"*";"*";"1,3";"7,4";"1,2";"42,9";"1,3";"12,5";"2,3";"*";"-";"2,2";"*";"*";"11,1";"1,9";"-";"*"
"5° anno fuori corso e oltre";"5,1";"0,6";"*";"6,6";"*";"*";"1,3";"92,6";"2,2";"57,1";"0,7";"87,5";"0,9";"*";"100,0";"1,3";"*";"*";"88,9";"1,9";"-";"*"
"Durata degli studi (medie, in anni) ";"4,0";"3,6";"*";"4,1";"*";"*";"3,7";"10,1";"4,0";"9,4";"3,7";"8,8";"3,6";"*";"10,2";"3,8";"*";"*";"9,5";"3,9";"4,7";"*"
"Ritardo alla laurea (medie, in anni) ";"0,8";"0,3";"*";"0,9";"*";"*";"0,4";"6,7";"0,7";"5,9";"0,4";"5,3";"0,4";"*";"6,7";"0,5";"*";"*";"6,1";"0,7";"1,2";"*"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,25";"0,11";"*";"0,29";"*";"*";"0,14";"2,22";"0,24";"1,98";"0,15";"1,77";"0,13";"*";"2,23";"0,18";"*";"*";"2,02";"0,22";"0,40";"*"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"72,8";"75,6";"*";"75,6";"*";"*";"64,5";"60,9";"74,8";"85,7";"80,7";"62,5";"75,8";"*";"62,5";"71,8";"*";"*";"60,0";"65,0";"71,4";"*"
"meno del 50%";"26,9";"23,8";"*";"24,4";"*";"*";"35,0";"39,1";"24,9";"14,3";"19,3";"37,5";"24,2";"*";"25,0";"27,8";"*";"*";"40,0";"35,0";"28,6";"*"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"46,8";"41,9";"*";"62,8";"*";"*";"43,9";"34,8";"41,7";"14,3";"50,3";"12,5";"56,6";"*";"-";"37,8";"*";"*";"20,0";"59,2";"57,1";"*"
"tra il 50% e il 75%";"32,1";"38,1";"*";"18,6";"*";"*";"30,8";"17,4";"34,6";"42,9";"36,6";"37,5";"28,9";"*";"12,5";"40,7";"*";"*";"20,0";"23,3";"28,6";"*"
"tra il 25% e il 50%";"12,5";"10,6";"*";"11,6";"*";"*";"15,0";"21,7";"13,6";"-";"6,2";"25,0";"10,3";"*";"50,0";"14,4";"*";"*";"60,0";"9,7";"14,3";"*"
"meno del 25%";"8,2";"8,1";"*";"7,0";"*";"*";"10,3";"26,1";"9,4";"42,9";"6,9";"25,0";"3,8";"*";"25,0";"7,2";"*";"*";"-";"7,8";"-";"*"
"Hanno usufruito del servizio di borse di studio (%)";"26,0";"30,0";"*";"19,8";"*";"*";"27,1";"-";"32,4";"42,9";"23,4";"-";"25,7";"*";"-";"25,8";"*";"*";"20,0";"21,4";"14,3";"*"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"15,1";"31,9";"*";"11,6";"*";"*";"11,7";"13,0";"12,0";"14,3";"17,2";"-";"14,5";"*";"-";"15,8";"*";"*";"-";"8,7";"42,9";"*"
"con Erasmus o altro programma dell'Unione Europea";"10,6";"21,3";"*";"5,8";"*";"*";"7,9";"-";"8,4";"14,3";"13,1";"-";"13,0";"*";"-";"11,0";"*";"*";"-";"4,9";"-";"*"
"altra esperienza riconosciuta dal corso di studi";"1,0";"3,8";"*";"1,2";"*";"*";"0,5";"-";"1,0";"-";"2,1";"-";"-";"*";"-";"-";"*";"*";"-";"1,0";"14,3";"*"
"iniziativa personale";"3,5";"6,9";"*";"3,5";"*";"*";"3,3";"13,0";"2,6";"-";"2,1";"-";"1,5";"*";"-";"4,8";"*";"*";"-";"2,9";"28,6";"*"
"non hanno compiuto studi all'estero";"84,7";"68,1";"*";"87,2";"*";"*";"87,9";"87,0";"88,0";"85,7";"82,8";"100,0";"85,5";"*";"100,0";"84,2";"*";"*";"100,0";"90,3";"57,1";"*"
"1 o più esami all'estero convalidati (%)";"10,5";"23,1";"*";"5,8";"*";"*";"7,5";"-";"7,8";"14,3";"13,1";"-";"12,4";"*";"-";"10,5";"*";"*";"-";"4,9";"14,3";"*"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,9";"6,3";"*";"-";"*";"*";"2,3";"4,3";"3,6";"-";"3,4";"-";"1,8";"*";"-";"2,4";"*";"*";"-";"1,9";"14,3";"*"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"43,5";"36,3";"*";"75,6";"*";"*";"68,2";"43,5";"44,0";"-";"16,6";"62,5";"29,5";"*";"75,0";"60,8";"*";"*";"40,0";"23,3";"42,9";"*"
"tirocini organizzati dal corso e svolti presso l'università";"4,3";"1,9";"*";"33,7";"*";"*";"1,9";"4,3";"4,9";"-";"0,7";"-";"2,1";"*";"-";"1,9";"*";"*";"-";"4,9";"14,3";"*"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"29,9";"24,4";"*";"37,2";"*";"*";"57,9";"26,1";"27,5";"-";"11,0";"50,0";"21,5";"*";"25,0";"41,1";"*";"*";"20,0";"16,5";"14,3";"*"
"attività di lavoro successivamente riconosciute dal corso";"8,4";"9,4";"*";"3,5";"*";"*";"7,0";"13,0";"10,7";"-";"4,1";"12,5";"5,3";"*";"50,0";"17,2";"*";"*";"-";"1,9";"14,3";"*"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"55,7";"61,9";"*";"23,3";"*";"*";"31,8";"56,5";"55,3";"100,0";"81,4";"37,5";"70,2";"*";"25,0";"38,8";"*";"*";"60,0";"74,8";"57,1";"*"
"Mesi impiegati per la tesi/prova finale (medie)";"3,4";"3,8";"*";"4,9";"*";"*";"3,0";"5,0";"3,4";"5,4";"3,3";"4,3";"3,3";"*";"5,0";"2,5";"*";"*";"3,8";"3,9";"6,0";"*"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Hanno esperienze di lavoro (%) ";"73,3";"78,8";"*";"68,6";"*";"*";"77,6";"91,3";"80,3";"85,7";"62,1";"87,5";"61,9";"*";"100,0";"76,6";"*";"*";"80,0";"71,8";"100,0";"*"
"lavoratori-studenti";"6,6";"3,8";"*";"12,8";"*";"*";"6,5";"21,7";"6,5";"57,1";"6,2";"-";"1,8";"*";"50,0";"5,7";"*";"*";"20,0";"5,8";"-";"*"
"altre esperienze di lavoro con continuità a tempo pieno";"3,7";"3,8";"*";"2,3";"*";"*";"6,5";"13,0";"2,9";"-";"2,1";"-";"1,8";"*";"25,0";"6,2";"*";"*";"20,0";"1,0";"-";"*"
"lavoro a tempo parziale";"20,5";"25,6";"*";"15,1";"*";"*";"19,2";"26,1";"23,6";"14,3";"13,1";"12,5";"19,2";"*";"-";"25,4";"*";"*";"20,0";"15,5";"42,9";"*"
"lavoro occasionale, saltuario, stagionale";"42,6";"45,6";"*";"38,4";"*";"*";"45,3";"30,4";"47,2";"14,3";"40,7";"75,0";"39,2";"*";"25,0";"39,2";"*";"*";"20,0";"49,5";"57,1";"*"
"nessuna esperienza di lavoro";"26,2";"20,0";"*";"30,2";"*";"*";"22,0";"8,7";"19,1";"14,3";"37,2";"12,5";"37,8";"*";"-";"23,4";"*";"*";"20,0";"28,2";"-";"*"
"lavoro coerente con gli studi";"10,1";"1,9";"*";"11,6";"*";"*";"15,9";"4,3";"11,3";"-";"5,5";"25,0";"8,8";"*";"12,5";"13,4";"*";"*";"20,0";"6,8";"14,3";"*"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"31,6";"21,3";"*";"57,0";"*";"*";"32,2";"34,8";"26,2";"42,9";"31,0";"-";"33,6";"*";"25,0";"27,3";"*";"*";"40,0";"42,7";"14,3";"*"
"più sì che no";"53,6";"55,6";"*";"33,7";"*";"*";"54,7";"26,1";"56,0";"42,9";"54,5";"62,5";"56,3";"*";"75,0";"58,4";"*";"*";"20,0";"45,6";"57,1";"*"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
