"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Hanno precedenti esperienze universitarie (%) ";"16,1";"13,0";"15,7";"*";"19,2";"15,4"
"portate a termine";"2,1";"4,3";"1,7";"*";"2,6";"2,4"
"non portate a termine";"14,0";"8,7";"14,0";"*";"16,7";"13,0"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"29,4";"26,1";"17,4";"*";"38,5";"50,3"
"fattori prevalentemente culturali";"48,7";"39,1";"58,1";"*";"34,6";"37,3"
"fattori prevalentemente professionalizzanti";"3,9";"8,7";"3,1";"*";"3,8";"4,7"
"né gli uni né gli altri";"18,0";"26,1";"21,4";"*";"23,1";"7,7"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"89,8";"73,9";"90,6";"*";"92,7";"89,0"
"2 o più anni di ritardo";"10,2";"26,1";"9,4";"*";"7,3";"11,0"
"Punteggio degli esami (medie) ";"26,8";"25,7";"26,5";"*";"27,2";"27,2"
"Voto di laurea (medie) ";"102,8";"94,5";"102,1";"*";"105,0";"104,4"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" "
"in corso";"55,3";"-";"43,6";"*";"65,9";"82,6"
"1° anno fuori corso";"20,6";"-";"25,4";"*";"22,0";"12,8"
"2° anno fuori corso";"10,8";"-";"17,7";"*";"2,4";"1,7"
"3° anno fuori corso";"5,9";"-";"8,3";"*";"6,1";"1,7"
"4° anno fuori corso";"2,5";"4,3";"3,3";"*";"2,4";"0,6"
"5° anno fuori corso e oltre";"4,8";"95,7";"1,7";"*";"1,2";"0,6"
"Durata degli studi (medie, in anni) ";"4,1";"9,7";"4,2";"*";"3,8";"3,1"
"Ritardo alla laurea (medie, in anni) ";"0,8";"6,2";"0,9";"*";"0,5";"0,2"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,28";"2,07";"0,29";"*";"0,16";"0,06"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"68,2";"43,5";"63,8";"*";"74,4";"77,5"
"meno del 50%";"31,7";"56,5";"35,9";"*";"25,6";"22,5"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"67,0";"13,0";"59,5";"*";"57,7";"94,7"
"tra il 50% e il 75%";"23,6";"39,1";"29,1";"*";"33,3";"5,3"
"tra il 25% e il 50%";"6,8";"26,1";"8,8";"*";"6,4";"-"
"meno del 25%";"2,6";"21,7";"2,6";"*";"2,6";"-"
"Hanno usufruito del servizio di borse di studio (%)";"27,8";"17,4";"28,5";"*";"21,8";"30,8"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"56,1";"34,8";"44,4";"*";"55,1";"84,0"
"con Erasmus o altro programma dell'Unione Europea";"42,8";"17,4";"32,8";"*";"25,6";"75,1"
"altra esperienza riconosciuta dal corso di studi";"7,6";"-";"6,0";"*";"20,5";"5,9"
"iniziativa personale";"5,8";"17,4";"5,7";"*";"9,0";"3,0"
"non hanno compiuto studi all'estero";"43,9";"65,2";"55,6";"*";"44,9";"16,0"
"1 o più esami all'estero convalidati (%)";"48,4";"13,0";"36,8";"*";"43,6";"79,9"
"Hanno preparato all'estero una parte significativa della tesi (%)";"6,3";"4,3";"8,0";"*";"9,0";"1,8"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"76,2";"52,2";"90,3";"*";"10,3";"81,1"
"tirocini organizzati dal corso e svolti presso l'università";"5,3";"4,3";"7,4";"*";"1,3";"3,0"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"57,6";"26,1";"65,5";"*";"6,4";"69,2"
"attività di lavoro successivamente riconosciute dal corso";"12,5";"21,7";"16,5";"*";"2,6";"7,7"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"22,8";"43,5";"9,7";"*";"84,6";"18,3"
"Mesi impiegati per la tesi/prova finale (medie)";"3,4";"4,9";"3,8";"*";"3,0";"2,8"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Hanno esperienze di lavoro (%) ";"69,5";"91,3";"75,2";"*";"66,7";"55,6"
"lavoratori-studenti";"3,4";"34,8";"3,1";"*";"2,6";"-"
"altre esperienze di lavoro con continuità a tempo pieno";"4,3";"8,7";"5,4";"*";"3,8";"1,2"
"lavoro a tempo parziale";"15,4";"21,7";"18,5";"*";"9,0";"11,2"
"lavoro occasionale, saltuario, stagionale";"46,3";"26,1";"48,1";"*";"51,3";"43,2"
"nessuna esperienza di lavoro";"30,5";"8,7";"24,8";"*";"33,3";"44,4"
"lavoro coerente con gli studi";"14,5";"21,7";"16,0";"*";"9,0";"12,4"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" "
"decisamente sì";"24,8";"8,7";"18,2";"*";"16,7";"44,4"
"più sì che no";"55,9";"47,8";"61,0";"*";"60,3";"44,4"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" "
"decisamente sì";"17,2";"13,0";"14,0";"*";"16,7";"24,9"
"più sì che no";"66,7";"60,9";"70,1";"*";"62,8";"62,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" "
"decisamente sì";"46,9";"39,1";"49,0";"*";"47,4";"43,8"
"più sì che no";"42,8";"56,5";"41,3";"*";"47,4";"41,4"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"16,7";"13,0";"9,4";"*";"11,5";"34,9"
"spesso adeguate";"51,0";"21,7";"53,3";"*";"50,0";"50,9"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"34,6";"8,7";"23,6";"*";"24,4";"65,7"
"erano presenti, ma in numero inadeguato";"41,0";"60,9";"43,3";"*";"41,0";"33,7"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" "
"decisamente positiva";"33,0";"21,7";"24,8";"*";"28,2";"53,8"
"abbastanza positiva";"55,8";"60,9";"63,0";"*";"64,1";"36,1"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"21,4";"8,7";"19,7";"*";"21,8";"26,6"
"abbastanza adeguato";"48,2";"8,7";"45,6";"*";"52,6";"56,8"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"61,4";"21,7";"58,4";"*";"50,0";"78,7"
"sì, ma ad un altro corso dell'Ateneo";"17,4";"39,1";"18,5";"*";"23,1";"9,5"
"sì, allo stesso corso ma in un altro Ateneo";"9,2";"8,7";"10,0";"*";"15,4";"4,7"
"sì, ma ad un altro corso e in un altro Ateneo";"8,5";"21,7";"8,5";"*";"9,0";"5,9"
"non si iscriverebbero più all'università";"3,4";"4,3";"4,6";"*";"2,6";"1,2"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" "
"inglese scritto";"94,5";"87,0";"93,7";"*";"96,2";"96,4"
"inglese parlato";"92,8";"73,9";"92,3";"*";"96,2";"94,7"
"francese scritto";"37,1";"43,5";"33,3";"*";"30,8";"47,3"
"francese parlato";"38,3";"43,5";"34,8";"*";"35,9";"46,2"
"spagnolo scritto";"39,9";"52,2";"41,0";"*";"33,3";"39,1"
"spagnolo parlato";"39,5";"52,2";"40,5";"*";"34,6";"38,5"
"tedesco scritto";"25,2";"26,1";"23,1";"*";"17,9";"33,1"
"tedesco parlato";"24,4";"17,4";"23,1";"*";"17,9";"31,4"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"92,1";"100,0";"91,7";"*";"94,9";"90,5"
"word processor";"79,7";"82,6";"76,4";"*";"84,6";"84,0"
"fogli elettronici";"52,9";"69,6";"45,6";"*";"56,4";"63,9"
"strumenti di presentazione";"57,6";"34,8";"55,0";"*";"65,4";"62,7"
"sistemi operativi";"69,8";"82,6";"65,2";"*";"75,6";"74,6"
"multimedia";"31,7";"34,8";"31,3";"*";"44,9";"26,0"
"linguaggi di programmazione";"5,0";"17,4";"4,3";"*";"10,3";"2,4"
"data base";"5,6";"21,7";"5,4";"*";"7,7";"3,0"
"realizzazione siti web";"5,1";"8,7";"5,7";"*";"6,4";"3,0"
"reti di trasmissione dati";"4,5";"8,7";"4,3";"*";"7,7";"3,0"
"CAD/CAM/CAE - progettazione assistita";"4,3";"13,0";"4,3";"*";"2,6";"4,1"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Intendono proseguire gli studi (%)";"78,6";"47,8";"78,1";"*";"76,9";"85,2"
"altra laurea triennale";"1,3";"-";"1,1";"*";"1,3";"1,8"
"laurea magistrale";"58,4";"13,0";"58,1";"*";"39,7";"74,0"
"dottorato di ricerca";"-";"-";"-";"*";"-";"-"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"0,3";"-";"0,3";"*";"1,3";"-"
"scuola di specializzazione post-laurea";"1,6";"-";"2,0";"*";"2,6";"0,6"
"master universitario";"9,5";"21,7";"8,3";"*";"21,8";"4,7"
"altro tipo di master o corso di perfezionamento";"3,1";"4,3";"3,1";"*";"6,4";"1,2"
"tirocinio, praticantato";"1,8";"-";"2,3";"*";"1,3";"1,2"
"attività sostenuta da borsa o assegno di studio";"0,2";"-";"0,3";"*";"-";"-"
"altre attività di qualificazione professionale";"2,4";"8,7";"2,3";"*";"2,6";"1,8"
"non intendono proseguire";"21,2";"52,2";"21,7";"*";"23,1";"14,8"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" "
"acquisti";"13,3";"21,7";"11,7";"*";"20,5";"12,4"
"amministrazione, contabilità";"7,9";"13,0";"8,0";"*";"7,7";"7,1"
"assistenza tecnica";"1,9";"8,7";"2,3";"*";"2,6";"-"
"commerciale, vendite";"22,0";"34,8";"20,5";"*";"25,6";"21,9"
"controllo di gestione";"7,9";"17,4";"7,1";"*";"12,8";"5,9"
"finanza";"2,3";"8,7";"1,7";"*";"3,8";"1,8"
"legale";"3,5";"4,3";"2,6";"*";"1,3";"6,5"
"logistica, distribuzione";"8,5";"13,0";"7,4";"*";"14,1";"7,7"
"marketing, comunicazione, pubbliche relazioni";"39,4";"34,8";"37,6";"*";"44,9";"41,4"
"organizzazione, pianificazione";"27,7";"21,7";"26,8";"*";"29,5";"29,0"
"produzione";"8,2";"8,7";"8,5";"*";"7,7";"7,7"
"ricerca e sviluppo";"16,9";"4,3";"18,2";"*";"12,8";"17,8"
"risorse umane, selezione, formazione";"31,5";"34,8";"30,5";"*";"26,9";"35,5"
"segreteria, affari generali";"17,4";"21,7";"16,8";"*";"16,7";"18,3"
"sistemi informativi, EDP";"2,6";"4,3";"2,3";"*";"5,1";"1,8"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"64,8";"56,5";"63,0";"*";"67,9";"68,0"
"possibilità di carriera";"50,0";"47,8";"48,4";"*";"57,7";"49,7"
"possibilità di guadagno";"50,3";"47,8";"46,4";"*";"53,8";"56,8"
"stabilità/sicurezza del posto di lavoro";"57,1";"65,2";"56,4";"*";"60,3";"55,6"
"rispondenza a interessi culturali";"50,6";"26,1";"52,1";"*";"46,2";"52,7"
"coerenza con gli studi";"41,5";"17,4";"37,3";"*";"39,7";"54,4"
"utilità sociale del lavoro";"29,6";"13,0";"28,2";"*";"25,6";"36,7"
"prestigio che ricevi dal lavoro";"17,7";"21,7";"18,8";"*";"15,4";"16,0"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"27,8";"13,0";"29,3";"*";"33,3";"24,3"
"indipendenza o autonomia";"48,6";"47,8";"48,4";"*";"46,2";"50,3"
"flessibilità dell’orario di lavoro";"20,7";"34,8";"19,9";"*";"20,5";"20,7"
"rapporti con i colleghi sul luogo di lavoro";"40,2";"43,5";"39,0";"*";"41,0";"41,4"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"28,5";"26,1";"26,2";"*";"26,9";"34,3"
"tempo libero";"27,0";"34,8";"24,5";"*";"29,5";"30,2"
"opportunità di contatti con l'estero";"69,0";"52,2";"61,5";"*";"71,8";"85,2"
"possibilità di utilizzare al meglio le competenze acquisite";"53,2";"39,1";"51,0";"*";"42,3";"65,1"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" "
"pubblico";"43,4";"39,1";"40,5";"*";"32,1";"55,6"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"44,4";"34,8";"37,3";"*";"48,7";"58,0"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" "
"tempo pieno";"86,2";"73,9";"84,9";"*";"85,9";"90,5"
"part-time";"55,3";"60,9";"53,3";"*";"43,6";"64,5"
"CONTRATTO";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"87,9";"91,3";"86,3";"*";"91,0";"89,3"
"tempo determinato";"40,8";"21,7";"38,5";"*";"37,2";"50,3"
"collaborazione (compreso lavoro a progetto)";"23,8";"17,4";"19,7";"*";"23,1";"33,7"
"inserimento (ex formazione e lavoro)";"24,1";"17,4";"21,1";"*";"24,4";"31,4"
"stage";"21,5";"21,7";"17,7";"*";"20,5";"30,2"
"apprendistato";"19,3";"21,7";"17,7";"*";"19,2";"22,5"
"lavoro interinale";"15,3";"26,1";"12,5";"*";"14,1";"20,1"
"telelavoro";"10,1";"8,7";"7,7";"*";"9,0";"16,0"
"autonomo/in conto proprio";"34,7";"26,1";"28,5";"*";"33,3";"49,7"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" "
"provincia di residenza";"57,2";"52,2";"59,8";"*";"41,0";"59,8"
"provincia degli studi";"49,0";"43,5";"49,6";"*";"46,2";"50,3"
"regione degli studi";"46,6";"39,1";"44,4";"*";"41,0";"55,0"
"Italia settentrionale";"45,5";"34,8";"43,9";"*";"43,6";"51,5"
"Italia centrale";"33,6";"26,1";"29,6";"*";"23,1";"47,9"
"Italia meridionale";"18,6";"17,4";"15,7";"*";"16,7";"26,0"
"Stato europeo";"70,3";"39,1";"65,8";"*";"71,8";"82,8"
"Stato extraeuropeo";"54,2";"34,8";"49,0";"*";"65,4";"62,1"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"53,1";"43,5";"46,4";"*";"60,3";"64,5"
"sì, anche frequenti (senza cambi di residenza)";"30,5";"30,4";"35,0";"*";"26,9";"23,1"
"sì, ma solo in numero limitato";"13,7";"17,4";"16,2";"*";"6,4";"11,2"
"non disponibili a trasferte";"1,6";"4,3";"1,7";"*";"3,8";"-"
