"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"scuola media superiore";"47,6";"*";"*";"*";"*";"*";"43,1";"*";"68,8";"42,7";"75,0";"52,3";"61,9";"40,0";"60,6";"*";"*";"*";"46,3"
"titoli inferiori o nessun titolo";"18,0";"*";"*";"*";"*";"*";"14,2";"*";"6,3";"18,0";"25,0";"24,3";"14,3";"40,0";"20,2";"*";"*";"*";"14,6"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"25,8";"*";"*";"*";"*";"*";"28,8";"*";"18,8";"29,6";"37,5";"13,5";"14,3";"20,0";"21,2";"*";"*";"*";"36,6"
"classe media impiegatizia";"31,3";"*";"*";"*";"*";"*";"29,2";"*";"50,0";"33,0";"-";"36,9";"28,6";"-";"26,3";"*";"*";"*";"32,9"
"classe media autonoma";"22,6";"*";"*";"*";"*";"*";"23,7";"*";"12,5";"20,4";"-";"20,7";"28,6";"80,0";"29,3";"*";"*";"*";"18,3"
"classe del lavoro esecutivo";"18,8";"*";"*";"*";"*";"*";"17,2";"*";"18,8";"15,0";"62,5";"27,0";"28,6";"-";"20,2";"*";"*";"*";"12,2"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"20,1";"*";"*";"*";"*";"*";"27,2";"*";"17,6";"22,2";"10,0";"8,9";"13,6";"-";"13,7";"*";"*";"*";"21,3"
"liceo linguistico";"15,2";"*";"*";"*";"*";"*";"21,5";"*";"-";"16,7";"-";"7,3";"-";"-";"14,7";"*";"*";"*";"14,6"
"liceo scientifico";"27,0";"*";"*";"*";"*";"*";"24,7";"*";"52,9";"32,6";"-";"21,1";"40,9";"16,7";"22,5";"*";"*";"*";"28,1"
"liceo socio-psico-pedagogico o ist. magistrale";"14,5";"*";"*";"*";"*";"*";"6,1";"*";"5,9";"8,1";"50,0";"35,8";"13,6";"33,3";"24,5";"*";"*";"*";"11,2"
"tecnico";"17,9";"*";"*";"*";"*";"*";"15,4";"*";"23,5";"17,2";"30,0";"18,7";"27,3";"50,0";"17,6";"*";"*";"*";"21,3"
"professionale";"2,7";"*";"*";"*";"*";"*";"2,2";"*";"-";"0,5";"-";"4,9";"-";"-";"5,9";"*";"*";"*";"1,1"
"istruzione artistica";"0,9";"*";"*";"*";"*";"*";"1,1";"*";"-";"0,5";"10,0";"2,4";"-";"-";"-";"*";"*";"*";"-"
"titolo estero";"1,6";"*";"*";"*";"*";"*";"1,8";"*";"-";"2,3";"-";"0,8";"4,5";"-";"1,0";"*";"*";"*";"1,1"
"Voto di diploma (medie, in 100-mi) ";"79,4";"*";"*";"*";"*";"*";"83,1";"*";"74,2";"80,7";"74,7";"75,6";"70,6";"70,7";"75,1";"*";"*";"*";"78,7"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"19,1";"*";"*";"*";"*";"*";"9,0";"*";"23,5";"23,5";"10,0";"26,0";"18,2";"33,3";"14,7";"*";"*";"*";"29,2"
"in una provincia limitrofa";"16,7";"*";"*";"*";"*";"*";"13,3";"*";"-";"14,0";"30,0";"28,5";"9,1";"-";"23,5";"*";"*";"*";"14,6"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"26,9";"*";"*";"*";"*";"*";"31,2";"*";"23,5";"20,8";"40,0";"28,5";"22,7";"16,7";"28,4";"*";"*";"*";"28,1"
"al Sud, ma si sono laureati al Centro-Nord";"24,8";"*";"*";"*";"*";"*";"29,4";"*";"52,9";"25,8";"10,0";"13,0";"45,5";"50,0";"24,5";"*";"*";"*";"15,7"
"al Centro, ma si sono laureati al Nord o al Sud";"10,7";"*";"*";"*";"*";"*";"15,4";"*";"-";"12,7";"10,0";"3,3";"-";"-";"6,9";"*";"*";"*";"11,2"
"al Nord, ma si sono laureati al Centro-Sud";"-";"*";"*";"*";"*";"*";"-";"*";"-";"-";"-";"-";"-";"-";"-";"*";"*";"*";"-"
"all'estero";"1,9";"*";"*";"*";"*";"*";"1,8";"*";"-";"3,2";"-";"0,8";"4,5";"-";"2,0";"*";"*";"*";"1,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Hanno precedenti esperienze universitarie (%) ";"16,9";"*";"*";"*";"*";"*";"11,7";"*";"18,8";"17,0";"25,0";"25,2";"28,6";"40,0";"18,2";"*";"*";"*";"13,4"
"portate a termine";"2,5";"*";"*";"*";"*";"*";"0,7";"*";"-";"1,0";"-";"10,8";"4,8";"-";"3,0";"*";"*";"*";"-"
"non portate a termine";"14,5";"*";"*";"*";"*";"*";"10,9";"*";"18,8";"16,0";"25,0";"14,4";"23,8";"40,0";"15,2";"*";"*";"*";"13,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"23,9";"*";"*";"*";"*";"*";"31,8";"*";"-";"17,5";"12,5";"28,8";"23,8";"20,0";"18,2";"*";"*";"*";"19,5"
"fattori prevalentemente culturali";"49,3";"*";"*";"*";"*";"*";"46,0";"*";"56,3";"59,7";"50,0";"33,3";"42,9";"80,0";"51,5";"*";"*";"*";"48,8"
"fattori prevalentemente professionalizzanti";"5,2";"*";"*";"*";"*";"*";"4,7";"*";"6,3";"4,9";"-";"12,6";"14,3";"-";"1,0";"*";"*";"*";"2,4"
"né gli uni né gli altri";"21,3";"*";"*";"*";"*";"*";"17,2";"*";"37,5";"17,5";"37,5";"25,2";"19,0";"-";"29,3";"*";"*";"*";"29,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"83,7";"*";"*";"*";"*";"*";"91,8";"*";"70,6";"86,9";"80,0";"70,7";"54,5";"50,0";"78,4";"*";"*";"*";"88,8"
"2 o più anni di ritardo";"16,3";"*";"*";"*";"*";"*";"8,2";"*";"29,4";"13,1";"20,0";"29,3";"45,5";"50,0";"21,6";"*";"*";"*";"11,2"
"Punteggio degli esami (medie) ";"25,5";"*";"*";"*";"*";"*";"25,8";"*";"22,7";"25,4";"24,8";"26,1";"23,3";"24,3";"25,6";"*";"*";"*";"25,5"
"Voto di laurea (medie) ";"97,3";"*";"*";"*";"*";"*";"98,7";"*";"84,9";"97,1";"93,7";"99,8";"87,5";"91,0";"96,9";"*";"*";"*";"97,6"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"69,7";"*";"*";"*";"*";"*";"87,5";"*";"-";"71,0";"-";"71,5";"9,1";"-";"64,7";"*";"*";"*";"73,0"
"1° anno fuori corso";"16,0";"*";"*";"*";"*";"*";"9,3";"*";"29,4";"20,8";"-";"16,3";"31,8";"-";"18,6";"*";"*";"*";"22,5"
"2° anno fuori corso";"4,9";"*";"*";"*";"*";"*";"1,1";"*";"23,5";"4,1";"-";"6,5";"27,3";"-";"9,8";"*";"*";"*";"4,5"
"3° anno fuori corso";"3,6";"*";"*";"*";"*";"*";"1,1";"*";"35,3";"3,2";"-";"5,7";"22,7";"-";"3,9";"*";"*";"*";"-"
"4° anno fuori corso";"1,2";"*";"*";"*";"*";"*";"0,4";"*";"5,9";"-";"10,0";"-";"9,1";"-";"1,0";"*";"*";"*";"-"
"5° anno fuori corso e oltre";"4,5";"*";"*";"*";"*";"*";"0,7";"*";"5,9";"0,9";"90,0";"-";"-";"100,0";"2,0";"*";"*";"*";"-"
"Durata degli studi (medie, in anni) ";"3,8";"*";"*";"*";"*";"*";"3,1";"*";"5,6";"3,5";"12,6";"3,5";"5,1";"14,3";"3,7";"*";"*";"*";"3,3"
"Ritardo alla laurea (medie, in anni) ";"0,7";"*";"*";"*";"*";"*";"0,1";"*";"2,1";"0,3";"9,1";"0,4";"1,6";"10,8";"0,5";"*";"*";"*";"0,2"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,22";"*";"*";"*";"*";"*";"0,05";"*";"0,70";"0,10";"3,04";"0,12";"0,54";"3,62";"0,17";"*";"*";"*";"0,06"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"75,4";"*";"*";"*";"*";"*";"82,5";"*";"75,0";"77,7";"62,5";"67,6";"61,9";"40,0";"67,7";"*";"*";"*";"74,4"
"meno del 50%";"24,4";"*";"*";"*";"*";"*";"17,2";"*";"25,0";"21,8";"37,5";"32,4";"38,1";"60,0";"32,3";"*";"*";"*";"25,6"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"66,9";"*";"*";"*";"*";"*";"82,1";"*";"50,0";"64,1";"50,0";"54,1";"57,1";"20,0";"65,7";"*";"*";"*";"61,0"
"tra il 50% e il 75%";"21,2";"*";"*";"*";"*";"*";"12,8";"*";"31,3";"24,3";"12,5";"33,3";"23,8";"20,0";"17,2";"*";"*";"*";"20,7"
"tra il 25% e il 50%";"7,8";"*";"*";"*";"*";"*";"4,4";"*";"12,5";"7,8";"-";"8,1";"4,8";"20,0";"11,1";"*";"*";"*";"14,6"
"meno del 25%";"3,7";"*";"*";"*";"*";"*";"-";"*";"6,3";"3,4";"37,5";"4,5";"14,3";"40,0";"6,1";"*";"*";"*";"3,7"
"Hanno usufruito del servizio di borse di studio (%)";"27,8";"*";"*";"*";"*";"*";"29,6";"*";"18,8";"26,7";"12,5";"26,1";"19,0";"-";"32,3";"*";"*";"*";"31,7"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"26,8";"*";"*";"*";"*";"*";"46,7";"*";"25,0";"23,3";"-";"9,0";"-";"-";"4,0";"*";"*";"*";"37,8"
"con Erasmus o altro programma dell'Unione Europea";"22,0";"*";"*";"*";"*";"*";"40,5";"*";"18,8";"18,4";"-";"6,3";"-";"-";"4,0";"*";"*";"*";"28,0"
"altra esperienza riconosciuta dal corso di studi";"2,0";"*";"*";"*";"*";"*";"2,9";"*";"6,3";"1,9";"-";"-";"-";"-";"-";"*";"*";"*";"4,9"
"iniziativa personale";"2,7";"*";"*";"*";"*";"*";"3,3";"*";"-";"2,9";"-";"2,7";"-";"-";"-";"*";"*";"*";"4,9"
"non hanno compiuto studi all'estero";"73,0";"*";"*";"*";"*";"*";"52,9";"*";"75,0";"76,7";"100,0";"91,0";"100,0";"100,0";"94,9";"*";"*";"*";"62,2"
"1 o più esami all'estero convalidati (%)";"22,3";"*";"*";"*";"*";"*";"39,4";"*";"25,0";"18,4";"-";"6,3";"-";"-";"4,0";"*";"*";"*";"32,9"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,0";"*";"*";"*";"*";"*";"1,1";"*";"-";"1,9";"-";"2,7";"-";"-";"-";"*";"*";"*";"8,5"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"32,6";"*";"*";"*";"*";"*";"6,6";"*";"50,0";"9,2";"62,5";"96,4";"61,9";"20,0";"87,9";"*";"*";"*";"11,0"
"tirocini organizzati dal corso e svolti presso l'università";"0,2";"*";"*";"*";"*";"*";"-";"*";"-";"-";"-";"0,9";"-";"-";"1,0";"*";"*";"*";"-"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"27,5";"*";"*";"*";"*";"*";"2,9";"*";"37,5";"6,8";"50,0";"91,0";"52,4";"20,0";"72,7";"*";"*";"*";"11,0"
"attività di lavoro successivamente riconosciute dal corso";"4,5";"*";"*";"*";"*";"*";"3,6";"*";"12,5";"2,4";"12,5";"2,7";"9,5";"-";"13,1";"*";"*";"*";"-"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"64,1";"*";"*";"*";"*";"*";"87,2";"*";"43,8";"88,3";"37,5";"3,6";"38,1";"80,0";"12,1";"*";"*";"*";"82,9"
"Mesi impiegati per la tesi/prova finale (medie)";"3,1";"*";"*";"*";"*";"*";"1,2";"*";"3,6";"3,0";"3,5";"3,0";"5,2";"3,6";"3,8";"*";"*";"*";"2,5"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Hanno esperienze di lavoro (%) ";"72,2";"*";"*";"*";"*";"*";"60,6";"*";"81,3";"73,8";"100,0";"82,0";"81,0";"100,0";"69,7";"*";"*";"*";"85,4"
"lavoratori-studenti";"8,3";"*";"*";"*";"*";"*";"2,9";"*";"12,5";"5,3";"25,0";"12,6";"19,0";"60,0";"14,1";"*";"*";"*";"6,1"
"altre esperienze di lavoro con continuità a tempo pieno";"6,0";"*";"*";"*";"*";"*";"4,0";"*";"6,3";"2,9";"25,0";"10,8";"4,8";"20,0";"6,1";"*";"*";"*";"9,8"
"lavoro a tempo parziale";"18,2";"*";"*";"*";"*";"*";"13,9";"*";"12,5";"18,4";"37,5";"25,2";"14,3";"20,0";"20,2";"*";"*";"*";"20,7"
"lavoro occasionale, saltuario, stagionale";"39,6";"*";"*";"*";"*";"*";"39,8";"*";"50,0";"47,1";"12,5";"33,3";"42,9";"-";"29,3";"*";"*";"*";"48,8"
"nessuna esperienza di lavoro";"27,4";"*";"*";"*";"*";"*";"38,7";"*";"18,8";"25,7";"-";"18,0";"19,0";"-";"30,3";"*";"*";"*";"13,4"
"lavoro coerente con gli studi";"8,2";"*";"*";"*";"*";"*";"5,1";"*";"12,5";"4,4";"37,5";"17,1";"19,0";"-";"9,1";"*";"*";"*";"6,1"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"32,5";"*";"*";"*";"*";"*";"43,8";"*";"12,5";"25,7";"25,0";"27,0";"23,8";"40,0";"35,4";"*";"*";"*";"19,5"
"più sì che no";"54,1";"*";"*";"*";"*";"*";"45,3";"*";"62,5";"62,6";"50,0";"56,8";"47,6";"60,0";"52,5";"*";"*";"*";"62,2"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"16,8";"*";"*";"*";"*";"*";"17,2";"*";"12,5";"14,6";"25,0";"16,2";"14,3";"40,0";"27,3";"*";"*";"*";"3,7"
"più sì che no";"66,4";"*";"*";"*";"*";"*";"67,5";"*";"68,8";"68,0";"62,5";"65,8";"61,9";"40,0";"60,6";"*";"*";"*";"73,2"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"45,6";"*";"*";"*";"*";"*";"43,4";"*";"31,3";"51,5";"12,5";"37,8";"42,9";"80,0";"48,5";"*";"*";"*";"48,8"
"più sì che no";"43,2";"*";"*";"*";"*";"*";"44,5";"*";"56,3";"36,9";"75,0";"50,5";"38,1";"20,0";"44,4";"*";"*";"*";"41,5"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"30,7";"*";"*";"*";"*";"*";"43,4";"*";"31,3";"18,0";"37,5";"22,5";"42,9";"20,0";"45,5";"*";"*";"*";"6,1"
"spesso adeguate";"55,6";"*";"*";"*";"*";"*";"49,6";"*";"62,5";"61,7";"50,0";"58,6";"52,4";"80,0";"45,5";"*";"*";"*";"69,5"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"43,2";"*";"*";"*";"*";"*";"72,6";"*";"12,5";"18,0";"37,5";"19,8";"66,7";"40,0";"60,6";"*";"*";"*";"14,6"
"erano presenti, ma in numero inadeguato";"27,1";"*";"*";"*";"*";"*";"23,0";"*";"43,8";"31,6";"25,0";"26,1";"9,5";"40,0";"21,2";"*";"*";"*";"40,2"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"39,2";"*";"*";"*";"*";"*";"45,3";"*";"25,0";"37,4";"25,0";"28,8";"52,4";"60,0";"46,5";"*";"*";"*";"25,6"
"abbastanza positiva";"49,6";"*";"*";"*";"*";"*";"44,9";"*";"68,8";"54,9";"50,0";"51,4";"42,9";"40,0";"39,4";"*";"*";"*";"63,4"
