"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Cittadini stranieri (%) ";"4,5";"-";"*";"-";"-";"3,0";"*";"-";"*";"5,1";"12,5";"3,8";"8,3";"5,6";"11,4";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"44,6";"50,0";"*";"38,1";"40,0";"47,0";"*";"30,8";"*";"53,1";"37,5";"39,2";"33,3";"41,7";"47,2";"11,1";"14,3";"55,2";"*";"42,9";"42,1";"*";"35,3";"37,5";"41,7";"*";"23,1";"53,3";"*"
"altra provincia della stessa regione";"30,0";"50,0";"*";"47,6";"20,0";"37,9";"*";"69,2";"*";"10,7";"62,5";"38,0";"29,2";"13,9";"39,8";"77,8";"42,9";"20,7";"*";"35,7";"15,8";"*";"29,4";"50,0";"16,7";"*";"69,2";"20,0";"*"
"altra regione";"25,3";"-";"*";"14,3";"40,0";"15,2";"*";"-";"*";"36,2";"-";"22,8";"37,5";"44,4";"12,2";"11,1";"42,9";"24,1";"*";"21,4";"42,1";"*";"35,3";"12,5";"41,7";"*";"7,7";"26,7";"*"
"estero";"0,1";"-";"*";"-";"-";"-";"*";"-";"*";"-";"-";"-";"-";"-";"0,8";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"8,0";"-";"*";"14,3";"-";"16,1";"*";"18,2";"*";"5,8";"-";"3,4";"-";"15,2";"7,0";"12,5";"14,3";"10,7";"*";"42,9";"-";"*";"12,5";"-";"16,7";"*";"-";"6,7";"*"
"uno solo con laurea";"17,0";"16,7";"*";"14,3";"-";"25,8";"*";"27,3";"*";"14,7";"-";"17,8";"15,0";"12,1";"13,2";"-";"28,6";"21,4";"*";"21,4";"26,3";"*";"18,8";"-";"25,0";"*";"-";"20,0";"*"
"scuola media superiore";"54,6";"83,3";"*";"47,6";"80,0";"54,8";"*";"36,4";"*";"61,8";"100,0";"52,7";"45,0";"51,5";"57,0";"75,0";"42,9";"53,6";"*";"21,4";"36,8";"*";"37,5";"85,7";"41,7";"*";"75,0";"40,0";"*"
"titoli inferiori o nessun titolo";"19,8";"-";"*";"23,8";"20,0";"3,2";"*";"18,2";"*";"16,8";"-";"26,0";"40,0";"21,2";"22,8";"12,5";"14,3";"14,3";"*";"7,1";"36,8";"*";"31,3";"14,3";"8,3";"*";"25,0";"26,7";"*"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"17,9";"16,7";"*";"19,0";"-";"27,4";"*";"45,5";"*";"17,8";"20,0";"13,0";"10,0";"9,1";"13,2";"12,5";"28,6";"28,6";"*";"42,9";"21,1";"*";"25,0";"14,3";"8,3";"*";"-";"13,3";"*"
"classe media impiegatizia";"33,2";"66,7";"*";"42,9";"40,0";"45,2";"*";"9,1";"*";"30,9";"40,0";"30,8";"25,0";"54,5";"29,8";"37,5";"57,1";"39,3";"*";"14,3";"21,1";"*";"25,0";"28,6";"58,3";"*";"16,7";"26,7";"*"
"classe media autonoma";"21,9";"16,7";"*";"19,0";"20,0";"22,6";"*";"18,2";"*";"23,6";"-";"21,9";"35,0";"9,1";"18,4";"37,5";"-";"17,9";"*";"35,7";"26,3";"*";"31,3";"28,6";"8,3";"*";"58,3";"20,0";"*"
"classe del lavoro esecutivo";"25,8";"-";"*";"19,0";"40,0";"4,8";"*";"27,3";"*";"26,2";"40,0";"34,2";"30,0";"27,3";"35,1";"12,5";"14,3";"14,3";"*";"7,1";"31,6";"*";"18,8";"28,6";"16,7";"*";"25,0";"33,3";"*"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"11,1";"-";"*";"9,5";"-";"7,6";"*";"7,7";"*";"12,2";"12,5";"8,9";"8,3";"13,9";"11,4";"11,1";"14,3";"24,1";"*";"7,1";"10,5";"*";"23,5";"12,5";"16,7";"*";"-";"6,7";"*"
"liceo linguistico";"5,0";"-";"*";"4,8";"-";"4,5";"*";"7,7";"*";"6,6";"-";"6,3";"-";"-";"5,7";"-";"-";"-";"*";"7,1";"-";"*";"-";"12,5";"-";"*";"7,7";"13,3";"*"
"liceo scientifico";"44,6";"100,0";"*";"19,0";"-";"68,2";"*";"69,2";"*";"51,0";"25,0";"39,9";"25,0";"30,6";"19,5";"88,9";"85,7";"51,7";"*";"71,4";"42,1";"*";"52,9";"50,0";"75,0";"*";"53,8";"53,3";"*"
"liceo socio-psico-pedagogico o ist. magistrale";"9,7";"-";"*";"38,1";"40,0";"-";"*";"7,7";"*";"10,2";"25,0";"11,4";"4,2";"-";"17,1";"-";"-";"10,3";"*";"7,1";"5,3";"*";"-";"12,5";"-";"*";"-";"-";"*"
"tecnico";"20,1";"-";"*";"14,3";"40,0";"13,6";"*";"-";"*";"12,2";"37,5";"25,3";"33,3";"33,3";"32,5";"-";"-";"10,3";"*";"7,1";"31,6";"*";"17,6";"12,5";"8,3";"*";"30,8";"13,3";"*"
"professionale";"4,8";"-";"*";"14,3";"20,0";"-";"*";"7,7";"*";"4,6";"-";"3,8";"16,7";"11,1";"4,9";"-";"-";"-";"*";"-";"10,5";"*";"5,9";"-";"-";"*";"-";"6,7";"*"
"istruzione artistica";"1,2";"-";"*";"-";"-";"-";"*";"-";"*";"-";"-";"2,5";"4,2";"2,8";"0,8";"-";"-";"3,4";"*";"-";"-";"*";"-";"-";"-";"*";"7,7";"6,7";"*"
"titolo estero";"3,3";"-";"*";"-";"-";"4,5";"*";"-";"*";"3,1";"-";"1,9";"8,3";"8,3";"8,1";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"Voto di diploma (medie, in 100-mi) ";"78,8";"92,0";"*";"80,3";"70,6";"81,9";"*";"83,5";"*";"78,0";"73,3";"78,3";"64,5";"76,1";"78,3";"85,0";"78,9";"88,3";"*";"76,6";"81,0";"*";"80,8";"85,8";"79,7";"*";"81,1";"79,7";"*"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"39,1";"50,0";"*";"33,3";"40,0";"37,9";"*";"30,8";"*";"46,9";"25,0";"37,3";"20,8";"25,0";"42,3";"11,1";"14,3";"51,7";"*";"35,7";"26,3";"*";"35,3";"37,5";"33,3";"*";"15,4";"53,3";"*"
"in una provincia limitrofa";"24,0";"16,7";"*";"38,1";"-";"7,6";"*";"23,1";"*";"4,6";"75,0";"44,9";"37,5";"2,8";"39,8";"66,7";"14,3";"17,2";"*";"28,6";"15,8";"*";"5,9";"25,0";"8,3";"*";"61,5";"6,7";"*"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"12,3";"33,3";"*";"23,8";"20,0";"39,4";"*";"46,2";"*";"11,2";"-";"0,6";"-";"11,1";"0,8";"22,2";"57,1";"6,9";"*";"21,4";"10,5";"*";"23,5";"37,5";"25,0";"*";"23,1";"33,3";"*"
"al Sud, ma si sono laureati al Centro-Nord";"18,1";"-";"*";"-";"40,0";"3,0";"*";"-";"*";"29,6";"-";"12,7";"29,2";"50,0";"8,9";"-";"14,3";"17,2";"*";"14,3";"47,4";"*";"29,4";"-";"25,0";"*";"-";"-";"*"
"al Centro, ma si sono laureati al Nord o al Sud";"3,2";"-";"*";"4,8";"-";"7,6";"*";"-";"*";"4,1";"-";"2,5";"4,2";"2,8";"-";"-";"-";"6,9";"*";"-";"-";"*";"5,9";"-";"8,3";"*";"-";"6,7";"*"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"*";"-";"-";"-";"*";"-";"*";"-";"-";"-";"-";"-";"-";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"all'estero";"3,4";"-";"*";"-";"-";"4,5";"*";"-";"*";"3,6";"-";"1,9";"8,3";"8,3";"8,1";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Hanno precedenti esperienze universitarie (%) ";"36,8";"33,3";"*";"42,9";"-";"58,1";"*";"54,5";"*";"38,7";"20,0";"26,0";"20,0";"33,3";"26,3";"62,5";"42,9";"50,0";"*";"57,1";"26,3";"*";"37,5";"71,4";"41,7";"*";"50,0";"33,3";"*"
"portate a termine";"9,4";"-";"*";"9,5";"-";"24,2";"*";"-";"*";"10,5";"20,0";"7,5";"-";"9,1";"7,9";"-";"14,3";"7,1";"*";"21,4";"5,3";"*";"-";"14,3";"-";"*";"8,3";"6,7";"*"
"non portate a termine";"27,4";"33,3";"*";"33,3";"-";"33,9";"*";"54,5";"*";"28,3";"-";"18,5";"20,0";"24,2";"18,4";"62,5";"28,6";"42,9";"*";"35,7";"21,1";"*";"37,5";"57,1";"41,7";"*";"41,7";"26,7";"*"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"44,8";"50,0";"*";"28,6";"40,0";"62,9";"*";"36,4";"*";"46,1";"40,0";"44,5";"55,0";"51,5";"43,0";"62,5";"42,9";"25,0";"*";"57,1";"36,8";"*";"43,8";"28,6";"16,7";"*";"33,3";"20,0";"*"
"fattori prevalentemente culturali";"30,0";"50,0";"*";"38,1";"40,0";"17,7";"*";"9,1";"*";"29,3";"20,0";"33,6";"15,0";"30,3";"30,7";"12,5";"14,3";"71,4";"*";"14,3";"15,8";"*";"25,0";"71,4";"50,0";"*";"33,3";"13,3";"*"
"fattori prevalentemente professionalizzanti";"9,9";"-";"*";"19,0";"20,0";"6,5";"*";"45,5";"*";"10,5";"-";"8,2";"15,0";"9,1";"4,4";"12,5";"-";"3,6";"*";"21,4";"31,6";"*";"-";"-";"8,3";"*";"8,3";"33,3";"*"
"né gli uni né gli altri";"15,1";"-";"*";"14,3";"-";"12,9";"*";"9,1";"*";"13,6";"40,0";"13,7";"15,0";"9,1";"21,9";"12,5";"42,9";"-";"*";"7,1";"15,8";"*";"31,3";"-";"25,0";"*";"25,0";"33,3";"*"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"69,9";"100,0";"*";"71,4";"80,0";"65,2";"*";"69,2";"*";"73,0";"75,0";"71,5";"62,5";"61,1";"61,8";"88,9";"42,9";"89,7";"*";"71,4";"68,4";"*";"88,2";"75,0";"75,0";"*";"76,9";"66,7";"*"
"2 o più anni di ritardo";"30,1";"-";"*";"28,6";"20,0";"34,8";"*";"30,8";"*";"27,0";"25,0";"28,5";"37,5";"38,9";"38,2";"11,1";"57,1";"10,3";"*";"28,6";"31,6";"*";"11,8";"25,0";"25,0";"*";"23,1";"33,3";"*"
"Punteggio degli esami (medie) ";"26,3";"29,5";"*";"27,9";"25,4";"28,3";"*";"28,4";"*";"25,6";"25,0";"25,9";"23,1";"23,1";"25,8";"28,9";"28,5";"29,0";"*";"28,1";"26,8";"*";"27,7";"28,5";"28,1";"*";"28,0";"27,7";"*"
"Voto di laurea (medie) ";"103,6";"113,0";"*";"107,5";"94,4";"110,3";"*";"109,7";"*";"101,6";"96,3";"103,8";"87,7";"89,2";"102,8";"112,0";"110,3";"111,3";"*";"109,1";"104,2";"*";"110,9";"109,0";"109,4";"*";"110,2";"108,6";"*"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"70,1";"83,3";"*";"61,9";"-";"69,7";"*";"69,2";"*";"82,1";"-";"86,7";"-";"-";"82,9";"44,4";"71,4";"51,7";"*";"85,7";"84,2";"*";"70,6";"75,0";"83,3";"*";"61,5";"66,7";"*"
"1° anno fuori corso";"18,6";"16,7";"*";"38,1";"100,0";"27,3";"*";"23,1";"*";"12,2";"37,5";"10,8";"33,3";"16,7";"13,8";"55,6";"14,3";"41,4";"*";"7,1";"10,5";"*";"17,6";"25,0";"16,7";"*";"38,5";"33,3";"*"
"2° anno fuori corso";"4,5";"-";"*";"-";"-";"3,0";"*";"7,7";"*";"1,0";"62,5";"1,3";"12,5";"30,6";"2,4";"-";"-";"3,4";"*";"7,1";"-";"*";"11,8";"-";"-";"*";"-";"-";"*"
"3° anno fuori corso";"2,2";"-";"*";"-";"-";"-";"*";"-";"*";"2,6";"-";"-";"12,5";"19,4";"-";"-";"14,3";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"4° anno fuori corso";"1,4";"-";"*";"-";"-";"-";"*";"-";"*";"0,5";"-";"0,6";"16,7";"8,3";"-";"-";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*";"-";"-";"*"
"5° anno fuori corso e oltre";"3,2";"-";"*";"-";"-";"-";"*";"-";"*";"1,5";"-";"0,6";"25,0";"25,0";"0,8";"-";"-";"3,4";"*";"-";"5,3";"*";"-";"-";"-";"*";"-";"-";"*"
"Durata degli studi (medie, in anni) ";"3,7";"3,2";"*";"3,5";"4,3";"3,4";"*";"3,6";"*";"3,5";"5,0";"3,4";"6,3";"6,6";"3,4";"3,7";"3,5";"3,9";"*";"3,3";"3,6";"*";"3,5";"3,2";"3,2";"*";"3,4";"3,5";"*"
"Ritardo alla laurea (medie, in anni) ";"0,5";"0,1";"*";"0,2";"0,9";"0,2";"*";"0,3";"*";"0,3";"1,5";"0,1";"2,9";"3,1";"0,2";"0,3";"0,4";"0,6";"*";"0,1";"0,4";"*";"0,3";"0,1";"0,1";"*";"0,2";"0,2";"*"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,17";"0,03";"*";"0,08";"0,29";"0,07";"*";"0,10";"*";"0,09";"0,50";"0,05";"0,95";"1,03";"0,06";"0,11";"0,14";"0,19";"*";"0,05";"0,15";"*";"0,10";"0,04";"0,03";"*";"0,07";"0,07";"*"
"5. CONDIZIONI DI STUDIO"
