"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Hanno precedenti esperienze universitarie (%) ";"15,2";"18,8";"*";"6,4";"2,9";"*";"20,3";"14,8";"18,8";"*"
"portate a termine";"1,9";"1,4";"*";"-";"-";"*";"3,6";"1,6";"-";"*"
"non portate a termine";"13,4";"17,4";"*";"6,4";"2,9";"*";"16,7";"13,1";"18,8";"*"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"28,3";"24,6";"*";"36,2";"40,0";"*";"21,0";"39,3";"18,8";"*"
"fattori prevalentemente culturali";"38,0";"39,1";"*";"55,3";"25,7";"*";"38,4";"27,9";"37,5";"*"
"fattori prevalentemente professionalizzanti";"6,4";"2,9";"*";"-";"11,4";"*";"9,4";"6,6";"6,3";"*"
"né gli uni né gli altri";"27,0";"33,3";"*";"8,5";"22,9";"*";"30,4";"26,2";"37,5";"*"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"83,4";"81,4";"*";"100,0";"85,7";"*";"81,9";"77,4";"82,4";"*"
"2 o più anni di ritardo";"16,6";"18,6";"*";"-";"14,3";"*";"18,1";"22,6";"17,6";"*"
"Punteggio degli esami (medie) ";"25,7";"25,1";"*";"27,8";"25,8";"*";"25,5";"26,0";"24,0";"*"
"Voto di laurea (medie) ";"98,8";"95,8";"*";"107,8";"100,7";"*";"96,9";"101,7";"91,6";"*"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"51,7";"47,1";"*";"85,1";"65,7";"*";"52,8";"43,5";"-";"*"
"1° anno fuori corso";"25,2";"35,7";"*";"8,5";"25,7";"*";"25,0";"37,1";"-";"*"
"2° anno fuori corso";"8,8";"11,4";"*";"2,1";"2,9";"*";"11,1";"12,9";"-";"*"
"3° anno fuori corso";"3,6";"2,9";"*";"2,1";"2,9";"*";"6,3";"1,6";"-";"*"
"4° anno fuori corso";"3,6";"1,4";"*";"-";"-";"*";"4,9";"1,6";"17,6";"*"
"5° anno fuori corso e oltre";"7,0";"1,4";"*";"2,1";"2,9";"*";"-";"3,2";"82,4";"*"
"Durata degli studi (medie, in anni) ";"4,3";"3,9";"*";"3,2";"3,8";"*";"4,0";"4,2";"9,0";"*"
"Ritardo alla laurea (medie, in anni) ";"1,0";"0,6";"*";"0,3";"0,5";"*";"0,7";"0,8";"5,5";"*"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,33";"0,20";"*";"0,09";"0,16";"*";"0,23";"0,25";"1,83";"*"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"74,1";"73,9";"*";"89,4";"65,7";"*";"71,7";"75,4";"62,5";"*"
"meno del 50%";"25,1";"24,6";"*";"10,6";"31,4";"*";"27,5";"24,6";"37,5";"*"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"73,0";"68,1";"*";"91,5";"82,9";"*";"70,3";"67,2";"62,5";"*"
"tra il 50% e il 75%";"22,7";"24,6";"*";"6,4";"14,3";"*";"25,4";"27,9";"37,5";"*"
"tra il 25% e il 50%";"2,7";"5,8";"*";"2,1";"-";"*";"2,2";"3,3";"-";"*"
"meno del 25%";"1,1";"1,4";"*";"-";"-";"*";"1,4";"1,6";"-";"*"
"Hanno usufruito del servizio di borse di studio (%)";"17,9";"14,5";"*";"19,1";"34,3";"*";"13,8";"27,9";"-";"*"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"3,5";"-";"*";"6,4";"-";"*";"4,3";"3,3";"12,5";"*"
"con Erasmus o altro programma dell'Unione Europea";"2,7";"-";"*";"4,3";"-";"*";"3,6";"1,6";"12,5";"*"
"altra esperienza riconosciuta dal corso di studi";"0,3";"-";"*";"-";"-";"*";"0,7";"-";"-";"*"
"iniziativa personale";"0,5";"-";"*";"2,1";"-";"*";"-";"1,6";"-";"*"
"non hanno compiuto studi all'estero";"96,0";"98,6";"*";"93,6";"100,0";"*";"94,9";"96,7";"87,5";"*"
"1 o più esami all'estero convalidati (%)";"2,4";"-";"*";"2,1";"-";"*";"3,6";"1,6";"12,5";"*"
"Hanno preparato all'estero una parte significativa della tesi (%)";"1,3";"1,4";"*";"4,3";"-";"*";"-";"-";"6,3";"*"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"89,8";"82,6";"*";"89,4";"97,1";"*";"89,9";"93,4";"87,5";"*"
"tirocini organizzati dal corso e svolti presso l'università";"13,4";"-";"*";"61,7";"-";"*";"0,7";"27,9";"6,3";"*"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"59,1";"71,0";"*";"21,3";"91,4";"*";"58,7";"59,0";"50,0";"*"
"attività di lavoro successivamente riconosciute dal corso";"15,8";"11,6";"*";"4,3";"-";"*";"29,0";"4,9";"31,3";"*"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"9,6";"15,9";"*";"10,6";"2,9";"*";"9,4";"6,6";"12,5";"*"
"Mesi impiegati per la tesi/prova finale (medie)";"2,7";"2,6";"*";"2,9";"1,8";"*";"2,5";"2,7";"4,2";"*"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Hanno esperienze di lavoro (%) ";"80,5";"92,8";"*";"34,0";"71,4";"*";"90,6";"78,7";"93,8";"*"
"lavoratori-studenti";"7,0";"5,8";"*";"-";"2,9";"*";"6,5";"4,9";"56,3";"*"
"altre esperienze di lavoro con continuità a tempo pieno";"9,4";"14,5";"*";"4,3";"8,6";"*";"8,0";"6,6";"25,0";"*"
"lavoro a tempo parziale";"36,6";"42,0";"*";"4,3";"20,0";"*";"55,1";"29,5";"6,3";"*"
"lavoro occasionale, saltuario, stagionale";"27,5";"30,4";"*";"25,5";"40,0";"*";"21,0";"37,7";"6,3";"*"
"nessuna esperienza di lavoro";"19,5";"7,2";"*";"66,0";"28,6";"*";"9,4";"21,3";"6,3";"*"
"lavoro coerente con gli studi";"37,2";"43,5";"*";"2,1";"2,9";"*";"66,7";"4,9";"50,0";"*"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"27,8";"18,8";"*";"42,6";"40,0";"*";"25,4";"32,8";"-";"*"
"più sì che no";"60,4";"71,0";"*";"53,2";"51,4";"*";"58,0";"57,4";"81,3";"*"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"11,8";"13,0";"*";"8,5";"5,7";"*";"9,4";"23,0";"-";"*"
"più sì che no";"71,4";"65,2";"*";"80,9";"80,0";"*";"67,4";"70,5";"87,5";"*"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"58,0";"69,6";"*";"57,4";"60,0";"*";"55,1";"47,5";"68,8";"*"
"più sì che no";"34,8";"27,5";"*";"34,0";"31,4";"*";"39,9";"37,7";"18,8";"*"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"19,0";"18,8";"*";"4,3";"45,7";"*";"5,8";"45,9";"6,3";"*"
"spesso adeguate";"48,1";"55,1";"*";"17,0";"42,9";"*";"52,2";"47,5";"81,3";"*"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"39,0";"26,1";"*";"78,7";"42,9";"*";"17,4";"72,1";"25,0";"*"
"erano presenti, ma in numero inadeguato";"25,4";"34,8";"*";"12,8";"31,4";"*";"26,1";"24,6";"12,5";"*"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"27,3";"24,6";"*";"34,0";"45,7";"*";"19,6";"32,8";"12,5";"*"
"abbastanza positiva";"42,2";"44,9";"*";"46,8";"42,9";"*";"41,3";"37,7";"43,8";"*"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"22,5";"24,6";"*";"8,5";"11,4";"*";"29,7";"21,3";"25,0";"*"
"abbastanza adeguato";"45,5";"47,8";"*";"55,3";"45,7";"*";"47,1";"34,4";"37,5";"*"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"66,3";"71,0";"*";"87,2";"51,4";"*";"68,8";"54,1";"43,8";"*"
"sì, ma ad un altro corso dell'Ateneo";"21,7";"18,8";"*";"8,5";"37,1";"*";"11,6";"42,6";"37,5";"*"
"sì, allo stesso corso ma in un altro Ateneo";"4,3";"2,9";"*";"-";"2,9";"*";"8,0";"-";"12,5";"*"
"sì, ma ad un altro corso e in un altro Ateneo";"4,0";"4,3";"*";"2,1";"-";"*";"6,5";"1,6";"6,3";"*"
"non si iscriverebbero più all'università";"3,5";"2,9";"*";"2,1";"5,7";"*";"5,1";"1,6";"-";"*"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"62,6";"47,8";"*";"91,5";"51,4";"*";"63,8";"59,0";"62,5";"*"
"inglese parlato";"54,0";"43,5";"*";"74,5";"51,4";"*";"53,6";"49,2";"56,3";"*"
"francese scritto";"10,7";"2,9";"*";"17,0";"8,6";"*";"10,1";"16,4";"-";"*"
"francese parlato";"9,4";"1,4";"*";"14,9";"2,9";"*";"8,7";"18,0";"-";"*"
"spagnolo scritto";"7,2";"4,3";"*";"10,6";"5,7";"*";"7,2";"8,2";"12,5";"*"
"spagnolo parlato";"8,8";"7,2";"*";"10,6";"11,4";"*";"8,0";"9,8";"12,5";"*"
"tedesco scritto";"1,6";"2,9";"*";"6,4";"-";"*";"0,7";"-";"-";"*"
"tedesco parlato";"1,1";"1,4";"*";"4,3";"-";"*";"0,7";"-";"-";"*"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"84,8";"79,7";"*";"97,9";"88,6";"*";"81,9";"82,0";"93,8";"*"
"word processor";"61,0";"49,3";"*";"80,9";"71,4";"*";"57,2";"59,0";"62,5";"*"
"fogli elettronici";"51,6";"34,8";"*";"76,6";"57,1";"*";"46,4";"55,7";"56,3";"*"
"strumenti di presentazione";"47,6";"34,8";"*";"74,5";"51,4";"*";"40,6";"52,5";"50,0";"*"
"sistemi operativi";"54,3";"55,1";"*";"48,9";"54,3";"*";"52,2";"52,5";"81,3";"*"
"multimedia";"35,0";"33,3";"*";"31,9";"37,1";"*";"34,8";"32,8";"50,0";"*"
"linguaggi di programmazione";"9,4";"13,0";"*";"12,8";"5,7";"*";"5,8";"13,1";"6,3";"*"
"data base";"8,6";"5,8";"*";"12,8";"11,4";"*";"6,5";"9,8";"12,5";"*"
"realizzazione siti web";"6,4";"4,3";"*";"10,6";"2,9";"*";"5,1";"11,5";"6,3";"*"
"reti di trasmissione dati";"5,9";"4,3";"*";"4,3";"2,9";"*";"5,1";"8,2";"18,8";"*"
"CAD/CAM/CAE - progettazione assistita";"8,0";"5,8";"*";"4,3";"2,9";"*";"9,4";"11,5";"12,5";"*"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Intendono proseguire gli studi (%)";"68,4";"60,9";"*";"97,9";"42,9";"*";"78,3";"54,1";"62,5";"*"
"altra laurea triennale";"9,6";"14,5";"*";"4,3";"-";"*";"15,9";"1,6";"6,3";"*"
"laurea magistrale";"39,3";"30,4";"*";"89,4";"20,0";"*";"39,9";"29,5";"12,5";"*"
"dottorato di ricerca";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*"
"scuola di specializzazione post-laurea";"5,9";"7,2";"*";"2,1";"5,7";"*";"5,1";"9,8";"6,3";"*"
"master universitario";"4,5";"-";"*";"-";"11,4";"*";"5,8";"6,6";"6,3";"*"
"altro tipo di master o corso di perfezionamento";"1,1";"4,3";"*";"-";"-";"*";"0,7";"-";"-";"*"
"tirocinio, praticantato";"0,3";"-";"*";"-";"-";"*";"-";"1,6";"-";"*"
"attività sostenuta da borsa o assegno di studio";"0,5";"-";"*";"2,1";"-";"*";"-";"-";"6,3";"*"
"altre attività di qualificazione professionale";"7,2";"4,3";"*";"-";"5,7";"*";"10,9";"4,9";"25,0";"*"
"non intendono proseguire";"31,6";"39,1";"*";"2,1";"57,1";"*";"21,7";"45,9";"37,5";"*"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"6,4";"11,6";"*";"-";"8,6";"*";"3,6";"4,9";"12,5";"*"
"amministrazione, contabilità";"6,1";"11,6";"*";"-";"2,9";"*";"3,6";"9,8";"18,8";"*"
"assistenza tecnica";"2,4";"8,7";"*";"-";"2,9";"*";"0,7";"-";"6,3";"*"
"commerciale, vendite";"13,4";"17,4";"*";"6,4";"11,4";"*";"7,2";"24,6";"6,3";"*"
"controllo di gestione";"9,1";"8,7";"*";"-";"40,0";"*";"5,1";"6,6";"12,5";"*"
"finanza";"1,9";"2,9";"*";"-";"2,9";"*";"0,7";"-";"18,8";"*"
"legale";"1,9";"2,9";"*";"-";"2,9";"*";"0,7";"4,9";"-";"*"
"logistica, distribuzione";"6,1";"10,1";"*";"2,1";"8,6";"*";"4,3";"3,3";"6,3";"*"
"marketing, comunicazione, pubbliche relazioni";"9,6";"13,0";"*";"-";"5,7";"*";"10,1";"8,2";"18,8";"*"
"organizzazione, pianificazione";"15,8";"20,3";"*";"6,4";"17,1";"*";"15,2";"14,8";"12,5";"*"
"produzione";"12,6";"4,3";"*";"21,3";"25,7";"*";"8,0";"21,3";"6,3";"*"
"ricerca e sviluppo";"35,6";"23,2";"*";"85,1";"51,4";"*";"20,3";"44,3";"6,3";"*"
"risorse umane, selezione, formazione";"17,1";"21,7";"*";"10,6";"11,4";"*";"19,6";"11,5";"18,8";"*"
"segreteria, affari generali";"9,1";"17,4";"*";"2,1";"8,6";"*";"5,8";"9,8";"12,5";"*"
"sistemi informativi, EDP";"3,7";"5,8";"*";"6,4";"-";"*";"2,2";"4,9";"6,3";"*"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"74,1";"75,4";"*";"76,6";"71,4";"*";"73,9";"82,0";"50,0";"*"
"possibilità di carriera";"58,0";"65,2";"*";"63,8";"60,0";"*";"55,1";"50,8";"62,5";"*"
"possibilità di guadagno";"56,1";"66,7";"*";"46,8";"62,9";"*";"50,7";"60,7";"62,5";"*"
"stabilità/sicurezza del posto di lavoro";"68,7";"75,4";"*";"61,7";"85,7";"*";"61,6";"77,0";"62,5";"*"
"rispondenza a interessi culturali";"32,4";"29,0";"*";"38,3";"42,9";"*";"26,8";"37,7";"31,3";"*"
"coerenza con gli studi";"53,2";"50,7";"*";"59,6";"45,7";"*";"52,2";"62,3";"37,5";"*"
"utilità sociale del lavoro";"33,7";"30,4";"*";"40,4";"34,3";"*";"28,3";"42,6";"43,8";"*"
"prestigio che ricevi dal lavoro";"22,7";"29,0";"*";"23,4";"11,4";"*";"16,7";"27,9";"37,5";"*"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"36,9";"39,1";"*";"46,8";"31,4";"*";"34,1";"34,4";"37,5";"*"
"indipendenza o autonomia";"46,5";"58,0";"*";"38,3";"48,6";"*";"40,6";"52,5";"43,8";"*"
"flessibilità dell’orario di lavoro";"26,5";"36,2";"*";"19,1";"20,0";"*";"23,9";"27,9";"43,8";"*"
"rapporti con i colleghi sul luogo di lavoro";"47,3";"49,3";"*";"48,9";"37,1";"*";"47,1";"49,2";"56,3";"*"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"33,7";"39,1";"*";"29,8";"28,6";"*";"29,0";"37,7";"56,3";"*"
"tempo libero";"30,7";"33,3";"*";"23,4";"31,4";"*";"26,1";"41,0";"50,0";"*"
"opportunità di contatti con l'estero";"28,6";"24,6";"*";"55,3";"25,7";"*";"25,4";"26,2";"12,5";"*"
"possibilità di utilizzare al meglio le competenze acquisite";"53,7";"58,0";"*";"59,6";"51,4";"*";"55,1";"49,2";"25,0";"*"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"44,9";"52,2";"*";"46,8";"42,9";"*";"45,7";"39,3";"37,5";"*"
