"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"27 anni e oltre";"9,1";"7,5";"92,3";"2,7";"80,0";"*";"5,8";"*";"*";"6,5";"100,0";"*";"83,3";"8,0";"*";"*";"*";"80,0";"100,0";"*";"*";"100,0";"16,7";"7,2";"1,1";"-";"3,0";"4,3";"*"
"età media alla laurea ";"23,9";"23,3";"30,1";"23,2";"28,5";"*";"23,9";"*";"*";"23,8";"30,1";"*";"29,4";"23,8";"*";"*";"*";"28,5";"42,4";"*";"*";"31,2";"27,0";"23,9";"23,0";"22,7";"23,1";"23,3";"*"
"Cittadini stranieri (%) ";"7,3";"10,4";"7,7";"2,7";"-";"*";"12,2";"*";"*";"7,7";"-";"*";"-";"4,8";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"-";"7,2";"11,3";"3,0";"6,8";"4,3";"*"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"47,8";"40,6";"30,8";"57,8";"-";"*";"13,7";"*";"*";"65,5";"60,0";"*";"83,3";"47,6";"*";"*";"*";"40,0";"66,7";"*";"*";"57,1";"66,7";"57,8";"47,5";"48,5";"50,8";"41,9";"*"
"altra provincia della stessa regione";"24,2";"23,6";"7,7";"18,4";"20,0";"*";"30,2";"*";"*";"10,1";"40,0";"*";"16,7";"48,8";"*";"*";"*";"60,0";"16,7";"*";"*";"-";"16,7";"8,4";"19,2";"24,2";"24,2";"17,2";"*"
"altra regione";"26,2";"27,4";"53,8";"23,8";"80,0";"*";"54,7";"*";"*";"22,6";"-";"*";"-";"3,2";"*";"*";"*";"-";"16,7";"*";"*";"42,9";"16,7";"32,5";"30,5";"27,3";"25,0";"37,6";"*"
"estero";"1,8";"8,5";"7,7";"-";"-";"*";"1,4";"*";"*";"1,8";"-";"*";"-";"0,4";"*";"*";"*";"-";"-";"*";"*";"-";"-";"1,2";"2,8";"-";"-";"3,2";"*"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"12,0";"27,2";"30,8";"15,4";"25,0";"*";"3,7";"*";"*";"6,8";"25,0";"*";"-";"7,0";"*";"*";"*";"-";"20,0";"*";"*";"-";"-";"14,6";"13,1";"3,0";"18,3";"12,2";"*"
"uno solo con laurea";"19,4";"33,0";"23,1";"22,0";"25,0";"*";"12,6";"*";"*";"9,6";"-";"*";"33,3";"15,7";"*";"*";"*";"-";"20,0";"*";"*";"-";"16,7";"22,0";"24,4";"15,2";"24,4";"17,8";"*"
"scuola media superiore";"52,0";"36,9";"46,2";"50,5";"25,0";"*";"57,8";"*";"*";"56,2";"50,0";"*";"50,0";"53,7";"*";"*";"*";"80,0";"40,0";"*";"*";"57,1";"66,7";"53,7";"50,6";"63,6";"48,1";"53,3";"*"
"titoli inferiori o nessun titolo";"15,7";"1,9";"-";"11,5";"25,0";"*";"23,0";"*";"*";"25,3";"25,0";"*";"16,7";"23,1";"*";"*";"*";"20,0";"20,0";"*";"*";"42,9";"16,7";"9,8";"11,9";"18,2";"8,4";"15,6";"*"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"25,1";"42,7";"38,5";"36,3";"-";"*";"12,6";"*";"*";"14,4";"25,0";"*";"50,0";"16,1";"*";"*";"*";"-";"40,0";"*";"*";"28,6";"50,0";"25,6";"25,0";"21,2";"35,9";"26,7";"*"
"classe media impiegatizia";"30,7";"33,0";"38,5";"28,6";"75,0";"*";"26,7";"*";"*";"25,3";"50,0";"*";"16,7";"36,4";"*";"*";"*";"-";"-";"*";"*";"28,6";"33,3";"26,8";"29,5";"24,2";"32,8";"35,6";"*"
"classe media autonoma";"23,6";"16,5";"23,1";"23,1";"-";"*";"25,9";"*";"*";"26,0";"25,0";"*";"33,3";"25,6";"*";"*";"*";"80,0";"40,0";"*";"*";"-";"-";"30,5";"23,9";"30,3";"17,6";"20,0";"*"
"classe del lavoro esecutivo";"19,1";"6,8";"-";"12,1";"25,0";"*";"31,9";"*";"*";"30,1";"-";"*";"-";"21,1";"*";"*";"*";"20,0";"20,0";"*";"*";"42,9";"16,7";"15,9";"19,3";"24,2";"11,5";"17,8";"*"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"6,9";"15,1";"15,4";"7,6";"-";"*";"5,0";"*";"*";"2,4";"-";"*";"-";"3,2";"*";"*";"*";"-";"-";"*";"*";"-";"-";"13,3";"7,9";"3,0";"10,6";"6,5";"*"
"liceo linguistico";"5,3";"8,5";"-";"4,9";"20,0";"*";"11,5";"*";"*";"1,8";"-";"*";"-";"4,0";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"10,8";"2,3";"-";"3,0";"8,6";"*"
"liceo scientifico";"40,0";"47,2";"30,8";"55,7";"20,0";"*";"25,9";"*";"*";"25,6";"-";"*";"16,7";"26,8";"*";"*";"*";"-";"16,7";"*";"*";"57,1";"33,3";"31,3";"47,5";"51,5";"62,9";"53,8";"*"
"liceo socio-psico-pedagogico o ist. magistrale";"1,7";"1,9";"-";"1,6";"-";"*";"2,2";"*";"*";"1,8";"-";"*";"-";"2,0";"*";"*";"*";"-";"-";"*";"*";"-";"-";"4,8";"0,6";"-";"0,8";"3,2";"*"
"tecnico";"38,7";"14,2";"38,5";"29,2";"40,0";"*";"45,3";"*";"*";"58,9";"80,0";"*";"50,0";"56,8";"*";"*";"*";"80,0";"83,3";"*";"*";"-";"50,0";"34,9";"35,0";"39,4";"16,7";"22,6";"*"
"professionale";"2,8";"0,9";"7,7";"-";"20,0";"*";"7,2";"*";"*";"3,6";"-";"*";"33,3";"5,2";"*";"*";"*";"-";"-";"*";"*";"14,3";"-";"2,4";"-";"-";"1,5";"-";"*"
"istruzione artistica";"0,5";"0,9";"-";"-";"-";"*";"-";"*";"*";"0,6";"-";"*";"-";"0,4";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"0,6";"3,0";"1,5";"-";"*"
"titolo estero";"4,2";"11,3";"7,7";"1,1";"-";"*";"2,9";"*";"*";"5,4";"20,0";"*";"-";"1,6";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"-";"2,4";"6,2";"3,0";"3,0";"5,4";"*"
"Voto di diploma (medie, in 100-mi) ";"81,0";"84,7";"72,3";"79,1";"72,4";"*";"78,1";"*";"*";"80,6";"78,8";"*";"79,2";"83,3";"*";"*";"*";"77,8";"72,2";"*";"*";"80,2";"87,5";"78,5";"82,0";"80,9";"82,7";"81,5";"*"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"43,2";"36,8";"23,1";"54,1";"-";"*";"10,8";"*";"*";"62,5";"60,0";"*";"83,3";"46,4";"*";"*";"*";"20,0";"66,7";"*";"*";"28,6";"66,7";"49,4";"39,0";"42,4";"43,9";"38,7";"*"
"in una provincia limitrofa";"19,8";"16,0";"15,4";"12,4";"-";"*";"15,8";"*";"*";"22,6";"20,0";"*";"16,7";"40,4";"*";"*";"*";"60,0";"-";"*";"*";"-";"-";"6,0";"13,6";"36,4";"15,2";"15,1";"*"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"13,1";"17,9";"7,7";"11,4";"20,0";"*";"25,9";"*";"*";"3,0";"-";"*";"-";"8,8";"*";"*";"*";"-";"16,7";"*";"*";"14,3";"16,7";"12,0";"15,3";"9,1";"18,2";"15,1";"*"
"al Sud, ma si sono laureati al Centro-Nord";"13,3";"7,5";"46,2";"13,0";"60,0";"*";"36,0";"*";"*";"6,0";"-";"*";"-";"2,8";"*";"*";"*";"-";"16,7";"*";"*";"28,6";"16,7";"22,9";"14,1";"6,1";"15,2";"10,8";"*"
"al Centro, ma si sono laureati al Nord o al Sud";"6,1";"10,4";"-";"8,1";"20,0";"*";"7,2";"*";"*";"0,6";"-";"*";"-";"-";"*";"*";"*";"-";"-";"*";"*";"-";"-";"7,2";"11,3";"3,0";"4,5";"15,1";"*"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"-";"-";"-";"*";"-";"*";"*";"-";"-";"*";"-";"-";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*"
"all'estero";"4,4";"11,3";"7,7";"1,1";"-";"*";"4,3";"*";"*";"5,4";"20,0";"*";"-";"1,6";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"-";"2,4";"6,8";"3,0";"3,0";"5,4";"*"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Hanno precedenti esperienze universitarie (%) ";"11,6";"14,6";"23,1";"9,9";"-";"*";"7,4";"*";"*";"11,6";"25,0";"*";"-";"9,5";"*";"*";"*";"-";"40,0";"*";"*";"28,6";"16,7";"24,4";"9,7";"9,1";"9,9";"13,3";"*"
"portate a termine";"2,0";"4,9";"-";"1,1";"-";"*";"-";"*";"*";"1,4";"-";"*";"-";"2,5";"*";"*";"*";"-";"-";"*";"*";"14,3";"16,7";"2,4";"1,1";"-";"2,3";"3,3";"*"
"non portate a termine";"9,5";"9,7";"23,1";"8,8";"-";"*";"7,4";"*";"*";"10,3";"25,0";"*";"-";"7,0";"*";"*";"*";"-";"40,0";"*";"*";"14,3";"-";"22,0";"8,5";"9,1";"7,6";"10,0";"*"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"35,8";"31,1";"53,8";"39,6";"25,0";"*";"29,6";"*";"*";"37,7";"25,0";"*";"66,7";"31,8";"*";"*";"*";"40,0";"80,0";"*";"*";"71,4";"33,3";"37,8";"39,2";"51,5";"26,7";"40,0";"*"
"fattori prevalentemente culturali";"19,8";"24,3";"-";"15,9";"25,0";"*";"20,7";"*";"*";"19,2";"25,0";"*";"16,7";"14,9";"*";"*";"*";"-";"-";"*";"*";"-";"-";"25,6";"25,6";"15,2";"25,2";"16,7";"*"
"fattori prevalentemente professionalizzanti";"20,2";"27,2";"23,1";"20,3";"-";"*";"17,8";"*";"*";"15,8";"-";"*";"16,7";"23,1";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"16,7";"13,4";"17,6";"15,2";"18,3";"34,4";"*"
"né gli uni né gli altri";"23,8";"17,5";"23,1";"23,6";"50,0";"*";"31,1";"*";"*";"26,7";"50,0";"*";"-";"29,8";"*";"*";"*";"40,0";"20,0";"*";"*";"-";"50,0";"22,0";"17,6";"18,2";"29,0";"8,9";"*"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"90,8";"87,7";"84,6";"95,7";"100,0";"*";"91,4";"*";"*";"86,3";"80,0";"*";"83,3";"90,8";"*";"*";"*";"80,0";"16,7";"*";"*";"57,1";"83,3";"90,4";"94,9";"100,0";"94,7";"89,2";"*"
"2 o più anni di ritardo";"9,2";"12,3";"15,4";"4,3";"-";"*";"8,6";"*";"*";"13,7";"20,0";"*";"16,7";"9,2";"*";"*";"*";"20,0";"83,3";"*";"*";"42,9";"16,7";"9,6";"5,1";"-";"5,3";"10,8";"*"
"Punteggio degli esami (medie) ";"24,8";"26,0";"22,0";"24,7";"22,4";"*";"23,7";"*";"*";"24,2";"23,2";"*";"22,8";"25,1";"*";"*";"*";"23,3";"23,5";"*";"*";"22,4";"23,3";"24,4";"24,6";"26,9";"25,7";"26,4";"*"
"Voto di laurea (medie) ";"95,7";"101,5";"81,8";"95,5";"81,6";"*";"90,6";"*";"*";"93,0";"87,6";"*";"85,0";"96,6";"*";"*";"*";"86,8";"87,7";"*";"*";"83,1";"86,7";"93,0";"94,8";"105,3";"99,9";"102,9";"*"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"66,6";"82,1";"-";"67,0";"-";"*";"58,3";"*";"*";"63,1";"-";"*";"-";"68,8";"*";"*";"*";"-";"-";"*";"*";"-";"-";"71,1";"68,4";"78,8";"84,1";"79,6";"*"
"1° anno fuori corso";"16,1";"8,5";"-";"21,1";"-";"*";"26,6";"*";"*";"23,8";"-";"*";"-";"13,6";"*";"*";"*";"-";"-";"*";"*";"-";"-";"14,5";"18,6";"18,2";"7,6";"12,9";"*"
"2° anno fuori corso";"6,7";"2,8";"-";"5,9";"-";"*";"7,9";"*";"*";"8,3";"-";"*";"-";"8,4";"*";"*";"*";"-";"-";"*";"*";"-";"33,3";"8,4";"10,2";"3,0";"3,8";"3,2";"*"
"3° anno fuori corso";"4,0";"5,7";"-";"4,9";"-";"*";"4,3";"*";"*";"2,4";"-";"*";"-";"5,2";"*";"*";"*";"-";"-";"*";"*";"-";"50,0";"3,6";"2,8";"-";"3,8";"2,2";"*"
"4° anno fuori corso";"2,1";"0,9";"7,7";"1,1";"20,0";"*";"2,2";"*";"*";"2,4";"-";"*";"-";"3,2";"*";"*";"*";"20,0";"50,0";"*";"*";"-";"16,7";"2,4";"-";"-";"0,8";"1,1";"*"
"5° anno fuori corso e oltre";"4,4";"-";"92,3";"-";"80,0";"*";"0,7";"*";"*";"-";"100,0";"*";"100,0";"0,8";"*";"*";"*";"80,0";"50,0";"*";"*";"100,0";"-";"-";"-";"-";"-";"1,1";"*"
"Durata degli studi (medie, in anni) ";"3,8";"3,2";"10,2";"3,5";"8,7";"*";"3,8";"*";"*";"3,6";"10,3";"*";"9,0";"3,6";"*";"*";"*";"8,5";"9,5";"*";"*";"9,8";"6,0";"3,5";"3,4";"3,2";"3,1";"3,3";"*"
"Ritardo alla laurea (medie, in anni) ";"0,7";"0,3";"6,8";"0,4";"5,2";"*";"0,5";"*";"*";"0,4";"6,8";"*";"5,5";"0,5";"*";"*";"*";"5,0";"6,1";"*";"*";"6,3";"2,5";"0,4";"0,3";"0,2";"0,2";"0,3";"*"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,22";"0,09";"2,25";"0,12";"1,74";"*";"0,17";"*";"*";"0,13";"2,27";"*";"1,84";"0,17";"*";"*";"*";"1,68";"2,02";"*";"*";"2,11";"0,84";"0,12";"0,11";"0,05";"0,08";"0,10";"*"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"79,3";"83,5";"61,5";"84,1";"50,0";"*";"72,6";"*";"*";"76,7";"75,0";"*";"50,0";"84,3";"*";"*";"*";"80,0";"60,0";"*";"*";"71,4";"100,0";"75,6";"80,1";"78,8";"81,7";"74,4";"*"
"meno del 50%";"19,7";"16,5";"38,5";"15,4";"50,0";"*";"25,2";"*";"*";"21,2";"25,0";"*";"50,0";"14,9";"*";"*";"*";"20,0";"40,0";"*";"*";"28,6";"-";"22,0";"19,3";"18,2";"17,6";"25,6";"*"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"61,2";"64,1";"23,1";"67,6";"50,0";"*";"51,1";"*";"*";"48,6";"25,0";"*";"16,7";"63,2";"*";"*";"*";"40,0";"40,0";"*";"*";"42,9";"33,3";"64,6";"71,0";"78,8";"62,6";"70,0";"*"
"tra il 50% e il 75%";"26,4";"24,3";"38,5";"25,8";"50,0";"*";"36,3";"*";"*";"30,1";"50,0";"*";"33,3";"25,2";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"33,3";"20,7";"23,9";"18,2";"26,0";"23,3";"*"
"tra il 25% e il 50%";"7,3";"8,7";"15,4";"5,5";"-";"*";"8,9";"*";"*";"14,4";"-";"*";"16,7";"7,4";"*";"*";"*";"-";"40,0";"*";"*";"28,6";"-";"6,1";"3,4";"-";"6,1";"3,3";"*"
"meno del 25%";"4,5";"1,9";"23,1";"0,5";"-";"*";"3,0";"*";"*";"5,5";"25,0";"*";"33,3";"3,7";"*";"*";"*";"40,0";"20,0";"*";"*";"-";"33,3";"6,1";"1,7";"3,0";"4,6";"3,3";"*"
"Hanno usufruito del servizio di borse di studio (%)";"21,3";"16,5";"7,7";"14,8";"-";"*";"36,3";"*";"*";"27,4";"-";"*";"-";"19,0";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"16,7";"20,7";"23,9";"33,3";"16,0";"23,3";"*"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"17,7";"56,3";"-";"21,4";"-";"*";"10,4";"*";"*";"5,5";"25,0";"*";"-";"7,4";"*";"*";"*";"-";"-";"*";"*";"14,3";"-";"24,4";"17,0";"6,1";"25,2";"24,4";"*"
"con Erasmus o altro programma dell'Unione Europea";"11,3";"26,2";"-";"12,1";"-";"*";"10,4";"*";"*";"2,1";"-";"*";"-";"4,5";"*";"*";"*";"-";"-";"*";"*";"14,3";"-";"18,3";"11,4";"6,1";"19,8";"18,9";"*"
"altra esperienza riconosciuta dal corso di studi";"3,4";"26,2";"-";"3,8";"-";"*";"-";"*";"*";"1,4";"-";"*";"-";"0,4";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"4,0";"-";"-";"4,4";"*"
