"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"65,8";"*";"50,0";"56,5";"66,7";"72,3";"*";"*";"*";"83,3";"62,7"
"meno del 50%";"33,2";"*";"50,0";"42,9";"33,3";"26,5";"*";"*";"*";"16,7";"36,0"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"45,8";"*";"10,0";"54,2";"18,5";"39,7";"*";"*";"*";"33,3";"53,8"
"tra il 50% e il 75%";"30,5";"*";"40,0";"25,0";"22,2";"32,0";"*";"*";"*";"16,7";"33,5"
"tra il 25% e il 50%";"10,5";"*";"20,0";"7,7";"18,5";"14,5";"*";"*";"*";"33,3";"4,7"
"meno del 25%";"12,7";"*";"30,0";"13,1";"40,7";"13,2";"*";"*";"*";"16,7";"7,2"
"Hanno usufruito del servizio di borse di studio (%)";"27,7";"*";"10,0";"26,8";"7,4";"33,2";"*";"*";"*";"16,7";"24,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,1";"*";"20,0";"5,4";"-";"5,5";"*";"*";"*";"16,7";"13,1"
"con Erasmus o altro programma dell'Unione Europea";"6,2";"*";"-";"4,2";"-";"3,7";"*";"*";"*";"16,7";"11,4"
"altra esperienza riconosciuta dal corso di studi";"0,5";"*";"-";"-";"-";"0,9";"*";"*";"*";"-";"-"
"iniziativa personale";"1,4";"*";"20,0";"1,2";"-";"0,9";"*";"*";"*";"-";"1,7"
"non hanno compiuto studi all'estero";"91,2";"*";"80,0";"92,9";"100,0";"93,8";"*";"*";"*";"83,3";"86,4"
"1 o più esami all'estero convalidati (%)";"5,8";"*";"-";"3,6";"-";"4,0";"*";"*";"*";"16,7";"10,2"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,8";"*";"10,0";"1,2";"3,7";"2,5";"*";"*";"*";"-";"3,4"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"69,9";"*";"100,0";"95,2";"88,9";"93,2";"*";"*";"*";"33,3";"16,5"
"tirocini organizzati dal corso e svolti presso l'università";"2,2";"*";"-";"2,4";"-";"1,5";"*";"*";"*";"16,7";"3,0"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"56,3";"*";"100,0";"82,7";"51,9";"75,4";"*";"*";"*";"-";"11,4"
"attività di lavoro successivamente riconosciute dal corso";"8,5";"*";"-";"3,0";"37,0";"12,9";"*";"*";"*";"16,7";"2,1"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"29,2";"*";"-";"4,8";"11,1";"6,5";"*";"*";"*";"66,7";"80,9"
"Mesi impiegati per la tesi/prova finale (medie)";"3,3";"*";"5,6";"3,3";"6,7";"3,2";"*";"*";"*";"2,6";"2,8"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Hanno esperienze di lavoro (%) ";"78,5";"*";"100,0";"84,5";"96,3";"77,8";"*";"*";"*";"100,0";"71,2"
"lavoratori-studenti";"13,6";"*";"60,0";"16,1";"33,3";"12,3";"*";"*";"*";"66,7";"7,2"
"altre esperienze di lavoro con continuità a tempo pieno";"4,7";"*";"10,0";"1,2";"3,7";"6,2";"*";"*";"*";"16,7";"4,2"
"lavoro a tempo parziale";"26,7";"*";"20,0";"32,1";"40,7";"28,0";"*";"*";"*";"-";"20,8"
"lavoro occasionale, saltuario, stagionale";"33,5";"*";"10,0";"35,1";"18,5";"31,4";"*";"*";"*";"16,7";"39,0"
"nessuna esperienza di lavoro";"21,2";"*";"-";"15,5";"3,7";"21,2";"*";"*";"*";"-";"28,8"
"lavoro coerente con gli studi";"28,3";"*";"60,0";"41,1";"66,7";"32,3";"*";"*";"*";"50,0";"6,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"43,5";"*";"70,0";"51,8";"40,7";"41,2";"*";"*";"*";"50,0";"39,0"
"più sì che no";"47,6";"*";"30,0";"41,7";"55,6";"46,8";"*";"*";"*";"50,0";"53,4"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"18,7";"*";"50,0";"19,0";"29,6";"20,0";"*";"*";"*";"16,7";"13,6"
"più sì che no";"69,1";"*";"50,0";"72,6";"63,0";"66,2";"*";"*";"*";"66,7";"72,5"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"49,2";"*";"80,0";"49,4";"63,0";"48,9";"*";"*";"*";"50,0";"47,0"
"più sì che no";"43,5";"*";"20,0";"47,0";"33,3";"43,1";"*";"*";"*";"16,7";"44,5"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"28,2";"*";"10,0";"13,7";"33,3";"19,1";"*";"*";"*";"50,0";"50,0"
"spesso adeguate";"46,5";"*";"80,0";"51,2";"44,4";"46,2";"*";"*";"*";"50,0";"43,2"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"47,1";"*";"40,0";"36,3";"48,1";"35,1";"*";"*";"*";"66,7";"70,8"
"erano presenti, ma in numero inadeguato";"33,1";"*";"60,0";"30,4";"40,7";"36,9";"*";"*";"*";"16,7";"28,0"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"41,8";"*";"50,0";"36,3";"55,6";"42,5";"*";"*";"*";"50,0";"41,9"
"abbastanza positiva";"48,1";"*";"50,0";"50,6";"40,7";"47,1";"*";"*";"*";"33,3";"49,6"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"31,0";"*";"50,0";"32,1";"29,6";"28,0";"*";"*";"*";"-";"34,7"
"abbastanza adeguato";"41,8";"*";"10,0";"41,1";"37,0";"42,2";"*";"*";"*";"16,7";"44,5"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"73,3";"*";"60,0";"70,2";"70,4";"72,6";"*";"*";"*";"83,3";"77,1"
"sì, ma ad un altro corso dell'Ateneo";"16,8";"*";"40,0";"18,5";"25,9";"16,9";"*";"*";"*";"16,7";"13,6"
"sì, allo stesso corso ma in un altro Ateneo";"2,6";"*";"-";"2,4";"3,7";"2,2";"*";"*";"*";"-";"3,4"
"sì, ma ad un altro corso e in un altro Ateneo";"4,4";"*";"-";"6,5";"-";"4,6";"*";"*";"*";"-";"3,4"
"non si iscriverebbero più all'università";"2,6";"*";"-";"2,4";"-";"2,8";"*";"*";"*";"-";"2,5"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"58,5";"*";"70,0";"42,3";"48,1";"50,8";"*";"*";"*";"50,0";"80,9"
"inglese parlato";"52,3";"*";"70,0";"32,7";"44,4";"49,8";"*";"*";"*";"33,3";"70,3"
"francese scritto";"14,7";"*";"30,0";"16,1";"22,2";"14,2";"*";"*";"*";"-";"12,3"
"francese parlato";"15,3";"*";"30,0";"14,9";"25,9";"15,4";"*";"*";"*";"-";"13,1"
"spagnolo scritto";"14,2";"*";"20,0";"19,0";"11,1";"14,8";"*";"*";"*";"33,3";"9,3"
"spagnolo parlato";"14,9";"*";"20,0";"17,3";"7,4";"16,0";"*";"*";"*";"33,3";"11,4"
"tedesco scritto";"2,8";"*";"10,0";"2,4";"3,7";"3,4";"*";"*";"*";"-";"2,1"
"tedesco parlato";"2,6";"*";"10,0";"1,2";"3,7";"3,1";"*";"*";"*";"-";"2,5"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"86,2";"*";"80,0";"82,1";"85,2";"85,8";"*";"*";"*";"66,7";"90,3"
"word processor";"67,1";"*";"60,0";"63,1";"85,2";"64,0";"*";"*";"*";"100,0";"70,8"
"fogli elettronici";"48,3";"*";"40,0";"43,5";"70,4";"44,3";"*";"*";"*";"66,7";"53,0"
"strumenti di presentazione";"48,6";"*";"50,0";"45,8";"40,7";"51,7";"*";"*";"*";"33,3";"46,2"
"sistemi operativi";"57,8";"*";"20,0";"58,3";"77,8";"55,4";"*";"*";"*";"33,3";"59,3"
"multimedia";"38,1";"*";"30,0";"41,1";"33,3";"41,2";"*";"*";"*";"16,7";"32,2"
"linguaggi di programmazione";"9,5";"*";"10,0";"10,7";"7,4";"9,8";"*";"*";"*";"16,7";"7,2"
"data base";"7,4";"*";"10,0";"3,0";"7,4";"9,5";"*";"*";"*";"16,7";"5,9"
"realizzazione siti web";"8,1";"*";"-";"10,1";"3,7";"11,1";"*";"*";"*";"16,7";"2,1"
"reti di trasmissione dati";"9,6";"*";"-";"8,9";"14,8";"11,4";"*";"*";"*";"16,7";"6,8"
"CAD/CAM/CAE - progettazione assistita";"6,5";"*";"-";"4,8";"14,8";"8,0";"*";"*";"*";"16,7";"3,8"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Intendono proseguire gli studi (%)";"65,8";"*";"30,0";"53,6";"40,7";"56,9";"*";"*";"*";"66,7";"93,2"
"altra laurea triennale";"3,3";"*";"-";"4,2";"3,7";"4,6";"*";"*";"*";"-";"1,3"
"laurea magistrale";"51,5";"*";"20,0";"31,5";"11,1";"40,3";"*";"*";"*";"50,0";"89,0"
"dottorato di ricerca";"-";"*";"-";"-";"-";"-";"*";"*";"*";"-";"-"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"0,3";"*";"-";"0,6";"-";"0,3";"*";"*";"*";"-";"-"
"scuola di specializzazione post-laurea";"1,8";"*";"-";"3,6";"7,4";"1,8";"*";"*";"*";"-";"-"
"master universitario";"4,4";"*";"10,0";"9,5";"7,4";"2,5";"*";"*";"*";"16,7";"2,5"
"altro tipo di master o corso di perfezionamento";"0,9";"*";"-";"1,2";"-";"1,2";"*";"*";"*";"-";"0,4"
"tirocinio, praticantato";"0,3";"*";"-";"-";"3,7";"0,3";"*";"*";"*";"-";"-"
"attività sostenuta da borsa o assegno di studio";"-";"*";"-";"-";"-";"-";"*";"*";"*";"-";"-"
"altre attività di qualificazione professionale";"2,9";"*";"-";"2,4";"3,7";"5,5";"*";"*";"*";"-";"-"
"non intendono proseguire";"34,0";"*";"70,0";"46,4";"59,3";"42,5";"*";"*";"*";"33,3";"6,8"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"6,8";"*";"10,0";"7,7";"7,4";"6,2";"*";"*";"*";"16,7";"5,9"
"amministrazione, contabilità";"5,5";"*";"10,0";"5,4";"3,7";"6,8";"*";"*";"*";"16,7";"3,8"
"assistenza tecnica";"2,6";"*";"10,0";"3,0";"3,7";"2,2";"*";"*";"*";"16,7";"2,1"
"commerciale, vendite";"10,5";"*";"10,0";"13,1";"18,5";"8,0";"*";"*";"*";"16,7";"10,6"
"controllo di gestione";"5,6";"*";"10,0";"3,6";"7,4";"5,5";"*";"*";"*";"16,7";"5,9"
"finanza";"2,3";"*";"10,0";"2,4";"-";"1,5";"*";"*";"*";"16,7";"3,0"
"legale";"3,6";"*";"10,0";"1,2";"-";"1,8";"*";"*";"*";"16,7";"7,6"
"logistica, distribuzione";"3,8";"*";"10,0";"3,6";"3,7";"3,1";"*";"*";"*";"16,7";"4,2"
"marketing, comunicazione, pubbliche relazioni";"12,3";"*";"20,0";"5,4";"22,2";"11,4";"*";"*";"*";"16,7";"16,1"
"organizzazione, pianificazione";"19,5";"*";"30,0";"12,5";"22,2";"19,7";"*";"*";"*";"16,7";"22,9"
"produzione";"8,3";"*";"10,0";"7,1";"22,2";"6,5";"*";"*";"*";"33,3";"9,3"
"ricerca e sviluppo";"26,2";"*";"20,0";"19,0";"22,2";"23,7";"*";"*";"*";"16,7";"35,2"
"risorse umane, selezione, formazione";"47,4";"*";"50,0";"47,6";"59,3";"52,6";"*";"*";"*";"66,7";"37,3"
"segreteria, affari generali";"10,6";"*";"10,0";"13,7";"29,6";"9,8";"*";"*";"*";"16,7";"7,2"
"sistemi informativi, EDP";"3,6";"*";"10,0";"3,0";"-";"3,4";"*";"*";"*";"16,7";"3,4"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"71,8";"*";"70,0";"73,2";"66,7";"71,1";"*";"*";"*";"50,0";"72,9"
"possibilità di carriera";"43,5";"*";"40,0";"35,1";"33,3";"43,1";"*";"*";"*";"33,3";"51,3"
"possibilità di guadagno";"42,9";"*";"40,0";"42,9";"37,0";"40,6";"*";"*";"*";"33,3";"47,0"
"stabilità/sicurezza del posto di lavoro";"64,1";"*";"70,0";"70,2";"63,0";"66,5";"*";"*";"*";"33,3";"57,2"
"rispondenza a interessi culturali";"44,1";"*";"70,0";"37,5";"51,9";"48,0";"*";"*";"*";"50,0";"41,1"
"coerenza con gli studi";"58,5";"*";"80,0";"61,3";"66,7";"58,8";"*";"*";"*";"50,0";"55,9"
"utilità sociale del lavoro";"56,7";"*";"70,0";"53,0";"66,7";"64,0";"*";"*";"*";"33,3";"48,7"
"prestigio che ricevi dal lavoro";"23,8";"*";"30,0";"25,0";"29,6";"22,8";"*";"*";"*";"33,3";"22,9"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"43,5";"*";"50,0";"39,9";"48,1";"44,9";"*";"*";"*";"50,0";"42,4"
