"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Hanno esperienze di lavoro (%) ";"76,9";"76,9";"*";"*";"64,3";"82,9";"100,0";"*";"68,4";"*";"84,5";"62,2";"85,2";"*";"90,5"
"lavoratori-studenti";"5,2";"15,4";"*";"*";"2,4";"4,9";"40,0";"*";"5,3";"*";"2,8";"4,4";"3,7";"*";"4,8"
"altre esperienze di lavoro con continuità a tempo pieno";"6,8";"-";"*";"*";"9,5";"-";"20,0";"*";"2,6";"*";"8,5";"2,2";"14,8";"*";"14,3"
"lavoro a tempo parziale";"16,6";"7,7";"*";"*";"16,7";"22,0";"-";"*";"10,5";"*";"22,5";"11,1";"14,8";"*";"23,8"
"lavoro occasionale, saltuario, stagionale";"48,4";"53,8";"*";"*";"35,7";"56,1";"40,0";"*";"50,0";"*";"50,7";"44,4";"51,9";"*";"47,6"
"nessuna esperienza di lavoro";"23,1";"23,1";"*";"*";"35,7";"17,1";"-";"*";"31,6";"*";"15,5";"37,8";"14,8";"*";"9,5"
"lavoro coerente con gli studi";"26,3";"7,7";"*";"*";"28,6";"14,6";"80,0";"*";"15,8";"*";"38,0";"8,9";"40,7";"*";"42,9"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"35,7";"15,4";"*";"*";"31,0";"24,4";"80,0";"*";"31,6";"*";"42,3";"40,0";"29,6";"*";"47,6"
"più sì che no";"56,8";"84,6";"*";"*";"61,9";"58,5";"20,0";"*";"57,9";"*";"52,1";"57,8";"63,0";"*";"47,6"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"18,5";"15,4";"*";"*";"26,2";"12,2";"20,0";"*";"15,8";"*";"16,9";"13,3";"22,2";"*";"23,8"
"più sì che no";"72,1";"84,6";"*";"*";"59,5";"75,6";"80,0";"*";"68,4";"*";"76,1";"80,0";"66,7";"*";"76,2"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"54,5";"46,2";"*";"*";"52,4";"43,9";"60,0";"*";"50,0";"*";"59,2";"60,0";"59,3";"*";"61,9"
"più sì che no";"38,0";"38,5";"*";"*";"45,2";"46,3";"40,0";"*";"42,1";"*";"32,4";"31,1";"33,3";"*";"33,3"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"23,7";"15,4";"*";"*";"21,4";"12,2";"40,0";"*";"28,9";"*";"12,7";"40,0";"22,2";"*";"38,1"
"spesso adeguate";"52,9";"76,9";"*";"*";"57,1";"61,0";"60,0";"*";"57,9";"*";"43,7";"46,7";"59,3";"*";"42,9"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"47,7";"38,5";"*";"*";"38,1";"29,3";"100,0";"*";"42,1";"*";"32,4";"84,4";"51,9";"*";"66,7"
"erano presenti, ma in numero inadeguato";"43,5";"46,2";"*";"*";"54,8";"36,6";"-";"*";"50,0";"*";"62,0";"15,6";"48,1";"*";"28,6"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"50,3";"30,8";"*";"*";"57,1";"63,4";"40,0";"*";"52,6";"*";"57,7";"42,2";"25,9";"*";"38,1"
"abbastanza positiva";"41,2";"69,2";"*";"*";"35,7";"36,6";"40,0";"*";"44,7";"*";"35,2";"48,9";"40,7";"*";"47,6"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"22,4";"23,1";"*";"*";"26,2";"12,2";"-";"*";"26,3";"*";"23,9";"26,7";"18,5";"*";"23,8"
"abbastanza adeguato";"45,1";"38,5";"*";"*";"52,4";"36,6";"80,0";"*";"42,1";"*";"53,5";"46,7";"40,7";"*";"28,6"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"72,7";"61,5";"*";"*";"78,6";"51,2";"20,0";"*";"60,5";"*";"83,1";"91,1";"77,8";"*";"66,7"
"sì, ma ad un altro corso dell'Ateneo";"17,9";"23,1";"*";"*";"21,4";"36,6";"60,0";"*";"21,1";"*";"9,9";"4,4";"11,1";"*";"19,0"
"sì, allo stesso corso ma in un altro Ateneo";"2,3";"-";"*";"*";"-";"-";"-";"*";"2,6";"*";"4,2";"-";"3,7";"*";"4,8"
"sì, ma ad un altro corso e in un altro Ateneo";"2,9";"-";"*";"*";"-";"7,3";"-";"*";"7,9";"*";"1,4";"2,2";"-";"*";"4,8"
"non si iscriverebbero più all'università";"3,9";"15,4";"*";"*";"-";"4,9";"20,0";"*";"5,3";"*";"1,4";"2,2";"7,4";"*";"4,8"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"66,9";"76,9";"*";"*";"69,0";"58,5";"40,0";"*";"55,3";"*";"80,3";"75,6";"44,4";"*";"71,4"
"inglese parlato";"62,7";"61,5";"*";"*";"69,0";"73,2";"80,0";"*";"60,5";"*";"64,8";"66,7";"29,6";"*";"61,9"
"francese scritto";"9,4";"-";"*";"*";"14,3";"9,8";"-";"*";"2,6";"*";"4,2";"20,0";"7,4";"*";"19,0"
"francese parlato";"9,4";"-";"*";"*";"14,3";"12,2";"-";"*";"7,9";"*";"2,8";"15,6";"3,7";"*";"23,8"
"spagnolo scritto";"9,4";"7,7";"*";"*";"23,8";"4,9";"-";"*";"10,5";"*";"7,0";"11,1";"-";"*";"9,5"
"spagnolo parlato";"10,7";"23,1";"*";"*";"23,8";"4,9";"-";"*";"13,2";"*";"4,2";"11,1";"3,7";"*";"19,0"
"tedesco scritto";"2,3";"-";"*";"*";"2,4";"2,4";"-";"*";"5,3";"*";"1,4";"-";"3,7";"*";"4,8"
"tedesco parlato";"2,6";"-";"*";"*";"2,4";"2,4";"-";"*";"7,9";"*";"1,4";"-";"3,7";"*";"4,8"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"85,7";"76,9";"*";"*";"92,9";"92,7";"80,0";"*";"73,7";"*";"87,3";"91,1";"88,9";"*";"71,4"
"word processor";"73,4";"84,6";"*";"*";"81,0";"65,9";"20,0";"*";"55,3";"*";"73,2";"86,7";"88,9";"*";"66,7"
