annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;8;8481;Igiene dentale (abilitante alla professione sanitaria di igienista dentale);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8481;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8482;Tecniche di neurofisiopatologia (abilitante alla professione sanitaria di tecnico di neurofisiopatologia);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8482;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8483;Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8483;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8484;Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di tecnico di laboratorio biomedico);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8484;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8485;Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica) (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8485;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8486;Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica) (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8486;Rimini;Rimini;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8487;Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (abilitante  alla professione sanitaria di tecnico della prevenzione nell'ambiente e nei luoghi di lavoro);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8487;Bologna;Imola;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8488;Scienze infermieristiche e ostetriche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8488;Bologna;Bologna;Medicina e Chirurgia;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;8;8859;Biotecnologie mediche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8859;Bologna;Bologna;Medicina e Chirurgia;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;8;8878;Scienze delle professioni sanitarie della prevenzione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8878;Bologna;Imola;Medicina e Chirurgia;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;8;8879;Assistenza sanitaria (abilitante alla professione sanitaria di assistente sanitario);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8879;Rimini;Rimini;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;9201;Ostetricia (abilitante alla professione sanitaria di ostetrica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9201;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
